year,subject,number,question,dis,pass
104,社會,1,1.圖(一)為臺灣1980年、2010年及推估2040年的扶養比示意圖，依據年代先後順序排列應為下列何者？(A)甲乙丙(cid:17392)(cid:7447)(cid:7383)(B)甲丙乙(C)乙甲丙(D)乙丙甲,0.37,0.89
104,社會,2,2.根據聯合國《海洋法公約》規定，各國擁有在其經濟海域內資源的使用權。臺灣因四面環海，島嶼眾多，擁有廣大的經濟海域，但因與鄰近國家的經濟海域重疊，經常有漁業上的糾紛。上文所述的鄰近國家不包含下列何者？(A)中國(B)日本(C)南韓(D)菲律賓,0.36,0.78
104,社會,3,3.圖(二)為颱風、梅雨、寒害、乾旱在臺灣西(cid:20)(cid:21)(cid:22)(cid:23)(cid:24)(cid:25)(cid:26)(cid:27)(cid:28)(cid:20)(cid:19)(cid:20)(cid:20)(cid:20)(cid:21)(cid:13766)(cid:13766)(cid:13766)(cid:13766)(cid:13766)(cid:13766)(cid:13766)(cid:13766)(cid:13766)(cid:13766)(cid:13766)(cid:13766)南部主要發生的月分，下列配對何者正確？(cid:17392)(A)甲為梅雨(cid:7447)(cid:7383)(B)乙為颱風(cid:7359)(C)丙為寒害圖(二)(D)丁為乾旱,0.52,0.68
104,社會,4,4.「新加坡的土地面積雖然不大，但因具有某項優越的條件，加上政府政策的指導，成功地讓新加坡的煉油產業快速發展，現已成為世界第三大煉油中心。」文中所述的優越條件應是指下列何者？(A)為主要石油生產國(B)人口多且勞力充足(C)地理位置佳且海運便利(D)國內重工業市場需求大,0.54,0.68
104,社會,5,5.圖(三)顯示歷年2月分北極海冰範圍變化情((cid:1325)17.0(cid:4068)形，該變化趨勢與下列同時期何者的變化趨16.5(cid:1139)勢最為相似？(cid:1041)16.0(cid:998)(A)全球淡水資源需求(cid:1626)15.5(B)全球海平面的高度)15.0(C)全球熱帶雨林面積14.5(D)全球二氧化碳濃度,0.48,0.69
104,社會,6,6.圖(四)為某雜誌上刊載的紀念戳章及其簡介，根據內容判斷，此紀念章最可能是描繪下列何時臺灣的景象？(A)荷蘭統治時期(B)清朝統治前期(C)清朝統治後期圖(四)(D)日本統治時期,0.41,0.9
104,社會,7,7.以下是一段十七世紀的文獻記載：「西班牙人每年向該地的已婚原住民課徵二隻雞和三甘當米的稅，原住民感到無法忍受，所以襲擊該地的西班牙城堡，殺了三十個西班牙(cid:908)人。」此段記載最可能是描繪圖(五)中何處的情況？(A)甲&甘當：一種量米的容器。(cid:1063)(B)乙(cid:909)(C)丙(D)丁,0.59,0.7
104,社會,8,8.十六世紀時，馬丁路德批判羅馬教會，揭開宗教改革的序幕。下列資料中何者最可能是馬丁路德的主張？(A)(B)(C)(D),0.54,0.69
104,社會,9,9.某書提及：「清廷想收回民間集資興建鐵路的權利，所以針對民間已投資者提出補償：在湖南、湖北，投資金額全數償還；在廣東，僅償還60%，其餘40%由政府股票支付；在四川，政府僅發給股票。這種處置引起四川士紳激憤，朝廷為控制騷亂，將部分湖北軍隊調往四川。」上述情況最可能為下列何者的發生提供了機會？(A)自強運動(B)戊戌政變(C)武昌起義(D)義和團事變,0.59,0.66
104,社會,10,10.圖(六)描繪中國某一朝代的官員正在接待來訪使節的情況，根據圖片內容判斷，此朝代最可能是下列何者？(cid:27030)(cid:27030)(cid:13871)(cid:13871)(cid:12698)(cid:12698)(cid:27989)(cid:27989)(cid:8661)(cid:8661)(A)周朝(cid:8734)(cid:8734)(cid:12500)(cid:12500)(cid:10959)(cid:10959)(cid:11627)(cid:11627)(cid:13422)(cid:13422)(cid:13366)(cid:13366)(B)漢朝(cid:11483)(cid:11483)(cid:20035)(cid:20035)(cid:15055)(cid:15055)(C)唐朝(cid:9673)(cid:7741)(cid:9673)(cid:7741)(cid:7741)(cid:20163)(cid:7741)(cid:20163)(cid:13453)(cid:7741)(cid:13453)(cid:7741)(D)清朝(cid:20163)(cid:20163)(cid:20163)(cid:20163),0.48,0.58
104,社會,11,11.公民老師在課堂上說明關於「價值觀念變遷」的主題，並請四位同學舉出適當的例子加以說明。下列哪一位同學舉出的例子，最符合上述主題？(A)阿智：網際網路科技發達(B)小強：性別平等意識抬頭(C)美美：立法委員席次調整(D)小明：大眾捷運系統普及,0.42,0.85
104,社會,12,12.表(一)是大榮家一年來理財投資結果的分析表(一)表。根據表中內容判斷，大榮家所選擇的各投入金額獲利金額投資工具(萬元)(萬元)項投資工具中，何者的投資報酬率最高？(A)股票股票501(B)債券債券1002(C)基金基金201(D)存款存款250.5,0.45,0.8
104,社會,13,13.發生刑事案件時，偵查人員蒐集、鑑定相關證據，並研判嫌疑人的心態、動機等，以呈現犯罪事實，其目的在提供下列何人作為「判決」的依據？(A)法官(B)檢察官(C)原告律師(D)刑事警察,0.42,0.7
104,社會,14,14.過去大家總認為「法不入家門」，但近年來家庭暴力問題逐漸受到重視，因此政府制定《家庭暴力防治法》，以處理相關問題。下列何者屬於上述法規處理此類問題的作法？(A)以感化教育處理少年暴力問題(B)禁止兒童及少年出入不良場所(C)法院核發保護令保障受害者安全(D)由法院宣告剝奪不適任父母親權,0.15,0.69
104,社會,15,15.右列是小諭舉例說明某一概念的部分內容，皮皮辦理簽證，利用假期到國根據內容判斷，這應是在探討《憲法》中的外旅遊。哪一項人民基本權利？(A)平等權毛毛關心政治，經常在報紙上(B)自由權投稿發表對政治議題的看法。(C)受益權(D)參政權,0.37,0.84
104,社會,16,16.圖(七)為臺灣某一縣市的海岸地形特徵N示意圖，根據圖中資訊判斷，最有可能(cid:12470)(cid:11220)(cid:11179)(cid:10111)(cid:18112)(cid:18409)(cid:9693)(cid:23464)(cid:11111)(cid:18097)(cid:15413)(cid:11126)是顯示下列哪一縣市的海岸地形特徵？(cid:5212)(cid:3995)(cid:3995)(cid:5212)(A)新北市(B)臺南市(cid:1137)(cid:2220)(cid:2220)(cid:1137)(C)屏東縣(D)花蓮縣(cid:2266)(cid:2266),0.26,0.76
104,社會,17,17.近年來，鳳梨酥成為國人及外國遊客(cid:18668)(cid:14283)(cid:433)(cid:12895)(cid:13300)(cid:24329)(cid:24255)(cid:22459)(cid:7706)(cid:433)(cid:8643)(cid:22427)(cid:24949)(cid:9196)喜愛的伴手禮之一，產值逐年上升。(cid:1176)(cid:908)(cid:1063)(cid:909)圖(八)為鳳梨酥產銷過程的示意圖，圖(八)甲、乙、丙、丁哪些屬於第三級產業？(A)甲乙(B)甲丙(C)乙丁(D)丙丁(cid:17392),0.47,0.67
104,社會,18,18.某位旅行家從北非乾燥地區出發，向北經地中海到達北歐，圖(九)是他記錄途中民宅常見的(cid:7447)窗戶形式。在他的旅途中依序記錄的窗戶形式應為下列何者？(A)甲→乙→丙(B)甲→丙→乙(cid:7383)(C)丙→甲→乙(D)丙→乙→甲,0.43,0.62
104,社會,19,19.圖(十)為中國某一氣候資料的等值線分布圖，圖中甲＜乙＜丙＜丁，則該氣候資料應為下列何者？(cid:17392)(A)年雨量(cid:7447)(cid:7383)(B)年溫差(C)七月均溫(cid:7359)(D)年雨量變率&年雨量變率＝年降水量變率,0.44,0.65
104,社會,20,20.圖(十一)是北美洲沿35°N的地形剖面圖。圖中甲、乙、丙、丁何處的年降水量最少？(m)(A)甲30002500(B)乙2000(C)丙15001000(D)丁500,0.27,0.52
104,社會,21,21.一份歷史文告寫道：「自宋朝覆亡，北方外族入主中原，百年不到，天下大亂。我本是平民，被眾人推舉，率軍攻占金陵(今南京)，再北上驅逐胡虜。色目等雖為異族，但若衷心歸順，仍是中華子民。」以上敘述與下列哪一史事關係最密切？(A)朱元璋起兵反元(B)鄭成功反清復明(C)孫中山創建中華民國(D)洪秀全建立太平天國,0.61,0.66
104,社會,22,22.圖(十二)為臺灣某一史前文化遺址的圖片，根據其內容判斷，此一文化應為下列何者？(A)長濱文化圖(十二)(B)圓山文化(C)大坌坑文化(D)十三行文化,0.5,0.76
104,社會,23,23.圖(十三)呈現某時期中華民國政府對於一本辭典的審查結果，根據圖片內容判斷，此辭典最可能是在下列何時接受政府單位的審查？(A)聯俄容共時期(B)寧漢分裂時期(C)八年抗戰時期(D)臺灣戒嚴時期圖(十三),0.24,0.36
104,社會,24,24.圖(十四)是歷史上某人宣誓的內容，該宣誓和下列何者最有關係？圖(十四)(A)上古印度的種姓制度(B)古典希臘的民主政治(C)中古西歐的封建制度(D)近代法國的君權神授,0.63,0.65
104,社會,25,25.右列是某次美國外交聲明的概要，根據我國政府希望各國在中國的商業內容判斷，美國為何發表此一聲明？和航運能享受平等待遇，我國人民(A)闡明門戶開放政策，維護在華利益的利益，也不得因列強在華畫分勢(B)要求中國開港通商，發動鴉片戰爭力範圍而受到損害，故反對列強在(C)參與瓜分中國領土，確保勢力範圍大清帝國領土內的獨占權利，或對(D)議定《天津條約》內容，保護僑民安全土地的控制權。,0.55,0.69
104,社會,26,26.據報載，我國某縣的財政狀況長期入不敷出，導致當地政府的財政問題日益嚴重，恐將出現延遲發放基層公務人員薪水的情形。為了解決上述問題，下列何者最可能是該縣政府依法採行的方法？(A)調高所得稅的課徵稅率(B)發展地方特色產業活動(C)維持市場上的交易秩序(D)提高社會福利支出比例,0.42,0.51
104,社會,27,27.某黨主席在一場選舉活動中，為該黨候選人李大同拉票的發言內容如下：「李大同已多次連任，具有豐富的經驗，相信他一定能為大家好好的監督政府，請各位選民繼續給他連任的機會。」李大同所參選的公職人員最可能是下列何者？(A)市長(B)鎮長(C)監察委員(D)立法委員,0.5,0.59
104,社會,28,"28.右列是阿平上課報告時所舉的例子，汽車駕駛人於開車時，使用手持式根據其內容判斷，下列何者最可能是行動電話進行撥接或通話者，處新該報告的主題？臺幣3,000元罰款。(A)政府可透過刑事處罰減少犯罪事件不良場所業者應拒絕兒童及少年進(B)政府可藉由行政處分處理外部效果入，違者將被主管機關處以罰款，並(C)政府可制定民事法規解決民事糾紛公告負責人姓名。(D)政府可修改相關法規增加國家稅收",0.49,0.61
104,社會,29,29.小英和阿泉一起編製竹筐和斗笠，依比較利益法則進行分表(二)工，阿泉被分配去製作竹筐，表(二)是他們每小時所能製作竹筐斗笠數量的部分數據。根據上述內容判斷，下列敘述何者正確？小英6(A)小英在製作斗笠上具有絕對利益阿泉3乙(B)阿泉在製作斗笠上具有絕對利益單位：個(C)小英製作斗笠的機會成本比較高(D)阿泉製作斗笠的機會成本比較低,0.44,0.56
104,社會,30,30.新聞節目製作了藝人林小花的專題報導，而小花在看完報導後認為內容有誤，造成她的困擾。律師告訴小花，其實她有權要求該節目給予答辯之機會，且電視臺不得拒絕。下列何者最符合上述內容的意涵？(A)公民享有接受媒體採訪與否的自由(B)媒體工作者有報導社會事件的自由(C)媒體經營者有選擇報導內容的權利(D)大眾享有公平接近使用媒體的權利,0.47,0.61
104,社會,31,31.在古代，由於沒有電話和無線電等通訊設備，烽火臺成為傳遞軍情的最好設施之一，傳遞的方法是白天燃煙，夜間舉火。為使軍200情能快速傳遞，烽火臺通常設置在視野極佳的位置。圖(十五)中甲、乙、丙、丁哪一地40030020000m1點最適合設置烽火臺？(A)甲(B)乙(C)丙(D)丁圖(十五),0.44,0.83
104,社會,32,32.近年來，中國許多內陸的民工不願再到沿海地區工作，反而留在家鄉就業，使沿海地區爆發嚴重的「缺工潮」，沿海工廠只好不斷放寬條件限制，或以其他誘因來吸引員工。下列何者最可能是造成上述缺工潮的原因？(A)沿海地區的工廠外移(B)內陸地區的物價高漲(C)沿海地區薪資所得降低(D)內陸地區就業機會增加,0.42,0.53
104,社會,33,33.希臘的海岸線曲折、多海灣，這是因陸地丘陵延伸至海岸，受海面相對上升的影響，沿海谷地被海水淹沒，使得各處都有深入內陸的海灣。依上文所描述的海岸特性，下列何處的海岸類型與希臘最為相似？(A)臺灣東部海岸(B)埃及尼羅河口(C)中國華南沿海(D)大洋洲吐瓦魯海岸,0.58,0.52
104,社會,34,34.圖(十六)呈現2000年某一地理現象在不同60°N緯度的分布差異。已知縱坐標為緯度，30°N0°橫坐標代表該現象的數據。根據該現象30°S在不同緯度的數據大小判斷，此一地理60°S現象最可能是指下列何者？(A)人口數(B)年降水量圖(十六)(C)森林面積(D)人均GDP,0.36,0.33
104,社會,35,35.德國由於生育率低，人口結構老化，總表(三)人口數多年呈現負成長。2011年，該國年度2010年2011年總人口數較前一年成長0.1%，是近年人口資料來首度正成長。表(三)是該國2010年和總人口數8170.88180.02011年的部分人口資料，根據表中資料新生兒人口數67.866.3推論，下列何者最可能是德國該年總人死亡人口數85.885.2口數增加的主要原因？單位：萬人(A)政府鼓勵生育的政策奏效(B)大幅開放東歐國家的移民(C)老人慢性病獲得明顯控制(D)給予多國觀光免簽證待遇,0.37,0.44
104,社會,36,36.圖(十七)中甲、乙、丙三張照片，分別與某戰爭中的三個重要事件有關，若依這些事件發生的時間先後順序排列，下列何者正確？(cid:17392)(cid:433)(cid:25653)(cid:11212)(cid:8797)(cid:10766)(cid:11782)(cid:16580)(cid:16246)(cid:24376)(cid:23711)(cid:7447)(cid:433)(cid:17035)(cid:17054)(cid:15597)(cid:7497)(cid:23112)(cid:19390)(cid:11955)(cid:26598)(cid:7383)(cid:433)(cid:22972)(cid:13754)(cid:18922)(cid:17721)(cid:25910)(cid:25889)(cid:7519)(cid:10949)(cid:10153)(cid:19390)(cid:11955)(cid:18255)圖(十七)(A)乙甲丙(B)乙丙甲(C)丙甲乙(D)丙乙甲,0.43,0.45
104,社會,37,37.歷史學者曾指出：「西周的封建，乃是一種侵略性的武裝移民與軍事占領。」上述朝代的封建擴張，主要是向圖(十八)中哪一方向？(A)甲(B)乙(C)丙(D)丁圖(十八),0.34,0.46
104,社會,38,38.表(四)是歷史上某人在臺灣旅遊的部分行表(四)程，依內容判斷，此人最可能是下列何時間地點參觀行程者？孔廟、赤崁樓、2/22-2/23臺南(A)日本統治下訪臺的國會議員嘉南大圳(B)清代開港時來臺的外國商人西子灣海水浴場、2/23-2/24高雄(C)跟隨鄭成功來臺的明朝文人臺糖製糖廠(D)荷蘭聯合東印度公司的駐臺牧師2/24屏東鵝鑾鼻燈塔,0.55,0.5
104,社會,39,39.圖(十九)呈現在1500年與1913年，某一洲的國家因政70治、軍事、經濟力量的轉變，所掌控的世界陸地面60積比例的變化。此一洲最可能是下列何者？50(A)非洲40(B)美洲30(C)亞洲2010(D)歐洲,0.37,0.46
104,社會,40,40.某國因強烈颶風侵襲，導致各地發生嚴重災情、民眾傷亡無數。若這樣的情況發生在我國，而政府認為應發布緊急命令加以因應，下列何者是其生效的必要條件之一？(A)經行政院發布(B)經立法院追認(C)經憲法法庭審理(D)經公民投票複決,0.57,0.47
104,社會,41,41.圖(二十)是上公民課時使用的教(cid:22282)(cid:13309)(cid:22770)(cid:22749)(cid:15055)(cid:7497)(cid:14086)(cid:7604)具，根據圖中的相對關係判斷，(cid:14086)(cid:7604)該「權利救濟機關」應為下列何(cid:14792)(cid:14792)(cid:8423)(cid:8423)(cid:13327)(cid:13327)(cid:16029)(cid:16029)(cid:14621)(cid:14621)(cid:25754)(cid:25754)者？(A)地方法院(cid:8968)(cid:22770)(cid:7425)(cid:22932)(cid:26140)(cid:8968)(cid:22770)(cid:7425)(cid:22932)(B)行政法院(cid:14086)(cid:7604)(cid:14086)(cid:7604)(C)調解委員會(cid:7585)(cid:22310)(cid:8877)(cid:8911)(cid:22832)(cid:14621)(cid:25754)(cid:10953)(cid:15104)(cid:14792)(cid:8423)(cid:13327)(cid:16029)(D)上級主管機關(cid:7585)(cid:22310)(cid:7371)(cid:8877)(cid:8911)(cid:22832)(cid:14621)(cid:25754)(cid:10953)(cid:15104)(cid:14792)(cid:8423)(cid:13327)(cid:16029),0.47,0.56
104,社會,42,42.飯店業者常運用需求法則，針對不同時段表(五)的來客數量設定不同的價格，希望盡可能時段原本房價(元)優惠後房價(元)提高住房率。表(五)為某飯店原本房價及甲40002800優惠後房價，根據表中資料判斷，若不考乙40002000慮其他條件，下列何者最可能是該飯店推丙40003600出優惠方案之前的住房情況？(A)(B)(C)(D),0.36,0.54
104,社會,43,43.圖(二十一)是依某店家招牌商品的市場供需狀況所繪110製的圖形，根據圖中訊息判斷，此項招牌商品在下60列四種定價時，何者為店家帶來的銷貨收入最高？40(A)2020(B)40020405575(C)60(D)110圖(二十一),0.4,0.44
104,社會,44,44.基於家庭倫理及優生學的考量，我國《民法》規定具有近親關係的血親及姻親間不得結婚。根據上述內容判斷，下列何種組合若登記結婚，其婚姻最可能是有效的？(A)愛美與哥哥的養子(B)曉華與伯父的兒子(C)大明與大嫂的妹妹(D)英俊與姑姑的女兒,0.16,0.41
104,社會,45,45.從十六世紀哥白尼的「地球繞日說」，到十七世紀伽利略主張「太陽中心說」、牛頓發表「萬有引力定律」，這些學說的提出，在歷史上最可能具有下列何種意義？(A)嘗試改變生產方式，使用機器取代人力(B)宣揚社會福利概念，解決貧富差距問題(C)試圖用理性態度，了解宇宙的自然法則(D)強調個性解放，重視人類的情感與直覺,0.39,0.91
104,社會,46,46.新聞報導：「少子化問題日益嚴重，我國的自然增加率恐將成為負值，政府已把此問題視為危及國家安全的國安議題，交由各部會擬定妥善的因應政策。」上述內容最可能是在關切下列哪一項國家組成要素的變化？(A)主權(B)人民(C)政府(D)領土,0.41,0.9
104,社會,47,47.公民老師為介紹歷史上某一重要事件所使用的簡圖，如圖(二十二)，其中甲、乙最可能為下列何者？(cid:8797)(cid:9630)(cid:11823)(cid:26301)(cid:9586)(cid:24715)(cid:17392)(cid:7447)(cid:24280)(cid:23398)(cid:20582)(cid:20471)圖(二十二)(A)甲：政府持續大量發行貨幣，乙：人民生活水準上升(B)甲：政府持續大量發行貨幣，乙：人民生活水準下降(C)甲：政府減少貨幣流通數量，乙：人民生活水準上升(D)甲：政府減少貨幣流通數量，乙：人民生活水準下降,0.5,0.82
104,社會,48,48.18歲的小蔡買了新房子，並完成相關手續，父母知情後雖不同意，但買賣契約仍然有效；19歲的雯雯買了昂貴的名牌包，但因某些原因，此交易行為無效。根據上述內容判斷，文中二人的情形最不可能是下列何者？(A)雯雯遭受了監護宣告(B)小蔡的婚姻狀況為已婚(C)雯雯屬於限制行為能力人(D)小蔡屬於限制行為能力人,0.53,0.55
104,社會,49,49.圖(二十三)呈現某一歷史事件前後，清朝治臺措施的差異。從圖中內容判斷，此一事件應是下列何者？(A)甲午戰爭(B)中法戰爭(C)林爽文事件圖(二十三)(D)牡丹社事件,0.54,0.46
104,社會,50,50.中國某電視臺舉辦旅遊路線設計比賽，其中有一路線的行程安排如圖(二十四)所示。若要寫出呈(cid:16967)(cid:16967)(cid:25662)(cid:25662)(cid:25754)(cid:25754)現該路線特色的介紹詞句，下列何者最合適？(cid:24592)(cid:24592)(cid:15239)(cid:15239)(cid:13348)(cid:13348)(cid:16394)(cid:16394)(A)走近黃河源頭，探訪生命禁區(B)重走絲綢之路，再現大漠風光(cid:11763)(cid:11763)(cid:12884)(cid:12884)(C)豪情塞上威風鼓，黃土高原信天游(cid:14884)(cid:14884)(cid:10431)(cid:10431)(D)甘甜瓜果齒留香，維族姑娘裙飛揚圖(二十四),0.44,0.63
104,社會,51,51.2013年，巴西幣貶值，幣值創四年來低點，連帶影響該國的進出口貿易。若其他條件不變的情況下，此幣值波動對巴西咖啡產業造成的影響，下列何者正確？(A)巴西為出口國，此種波動有利咖啡出口(B)巴西為出口國，此種波動不利咖啡出口(C)巴西為進口國，此種波動有利咖啡進口(D)巴西為進口國，此種波動不利咖啡進口,0.5,0.51
104,社會,52,52.圖(二十五)是某旅遊手冊的部分內容，此手冊最可能是介紹圖(二十六)中的何地？(cid:17392)(A)甲(cid:7447)(B)乙(cid:24576)(cid:11918)(cid:8543)(cid:10098)(cid:18027)(cid:12190)(cid:12022)(cid:9163)(cid:10248)(cid:12001)(cid:19376)(cid:399)(cid:13846)(cid:12190)(cid:9970)(cid:19800)(cid:15522)(cid:15179)(cid:10007)(cid:13865)(cid:12839)(cid:20975)(cid:19376)(cid:18027)(C)丙(cid:20004)(cid:18250)(cid:11135)(cid:24735)(cid:731)(cid:19219)(cid:7655)(cid:15112)(cid:7677)(cid:17715)(cid:10510)(cid:12823)(cid:7383)(D)丁(cid:13865)(cid:399)(cid:13772)(cid:14099)(cid:24601)(cid:8540)(cid:15179)(cid:10007)(cid:399)(cid:20467)(cid:12147)(cid:9149),0.39,0.4
104,社會,53,53.假設身為監察委員的大佑，在某表(六)段期間看到媒體揭露的四則新聞新聞報導內容報導，如表(六)所示。根據大佑的民調顯示，民眾對於內閣官員的滿甲職權判斷，表中哪一則新聞的報意度大幅下滑。導對象，最可能被他提出彈劾？幫派分子製毒，警方破獲史上最大乙(A)甲毒品販賣集團。(B)乙現任總統疑似洩漏國家機密，影響丙(C)丙國家安全。(D)丁中央政府部會首長涉嫌官商勾結，,0.43,0.56
104,社會,54,54.崇明島是位於中國第一大河出海口的島嶼，大部分隸屬於上海市。在某一段時期，由於居民在島嶼周邊圍河造田，加上該大河流域內其他地區的人為活動，使得島嶼面積逐漸增加。下列哪項人為活動與上文描述的島嶼面積變化關連最密切？(A)興築長江三峽大壩(B)砍伐長江流域的森林(C)在河套地區引水灌溉(D)在黃河下游修築堤防,0.35,0.33
104,社會,55,55.秧秧至某城市旅遊，發現此城市曾歷經亞歷山大帝國、羅馬帝國、阿拉伯帝國、鄂圖曼土耳其帝國的統治。秧秧最可能至下列哪一城市旅遊？(A)埃及開羅(B)希臘雅典(C)義大利羅馬(D)沙烏地阿拉伯麥加,0.33,0.23
104,社會,56,56.上文所述社會動盪不安的年代，主要是指下列何者？(A)1910年代(B)1930年代(C)1940年代(D)1960年代,0.39,0.41
104,社會,57,57.下列哪一組經緯度坐標，最接近上述內陸國家所在位置？(A)(60°W，23.5°N)(B)(60°W，23.5°S)(C)(120°W，23.5°N)(D)(120°W，23.5°S),0.18,0.31
104,社會,58,58.上述內陸國家境內的山區，應屬於下列哪一座山脈？(A)落磯山脈&落磯山脈＝洛磯山脈(B)安地斯山脈(C)阿帕拉契山脈(D)喀爾巴阡山脈,0.53,0.56
104,社會,59,59.根據上述內容判斷，下列哪種社會變遷的趨勢最可能符合文中敘述？(A)(B)(C)(D),0.54,0.72
104,社會,60,60.文中所提及違法行為應受到的處罰，與下列何者所應負起的法律責任類型相同？(A)未依契約規定完成施工(B)拒絕酒測遭到吊銷駕照(C)未盡兵役義務遭到起訴(D)酒後駕車造成公共危險,0.47,0.38
104,社會,61,61.上文中美國國會通過的「法案」，最可能呈現下列哪一概念？(A)地方自治的展現(B)民意機關的建立(C)基本人權的保障(D)分權制衡的設計,0.42,0.81
104,社會,62,62.根據上文對中國的描述，當時中國最可能出現下列哪一景象？(A)政府鼓勵民眾交出鐵製品，供國家煉鋼(B)派遣軍隊前往朝鮮半島，援助北韓作戰(C)國家推動改革開放，在深圳設經濟特區(D)紅衛兵四處鬥爭，毀損歷史文物和書籍,0.6,0.63
104,社會,63,63.上文所述的「老大哥」，最可能是下列何者？(A)蘇聯(B)美國(C)中國(D)英國,0.54,0.72
