年度,科目,題號,通過率,鑑別度
112,國文,1,0.85,0.31
112,英語聽力,1,0.91,0.49
112,數學,1,0.89,0.4
112,社會,1,0.92,0.39
112,自然,1,0.8,0.42
112,國文,2,0.83,0.39
112,英語聽力,2,0.75,0.61
112,英語,2,0.73,0.67
112,數學,2,0.87,0.44
112,社會,2,0.87,0.49
112,自然,2,0.85,0.44
112,國文,3,0.75,0.47
112,英語聽力,3,0.82,0.44
112,英語,3,0.71,0.68
112,數學,3,0.89,0.39
112,社會,3,0.82,0.5
112,自然,3,0.93,0.33
112,國文,4,0.75,0.51
112,英語聽力,4,0.75,0.65
112,英語,4,0.6,0.57
112,數學,4,0.8,0.57
112,社會,4,0.69,0.4
112,自然,4,0.8,0.35
112,國文,5,0.67,0.43
112,英語聽力,5,0.82,0.5
112,英語,5,0.72,0.63
112,數學,5,0.77,0.57
112,社會,5,0.91,0.43
112,自然,5,0.78,0.46
112,國文,6,0.6,0.19
112,英語聽力,6,0.8,0.66
112,英語,6,0.76,0.57
112,數學,6,0.77,0.57
112,社會,6,0.82,0.53
112,自然,6,0.83,0.41
112,國文,7,0.74,0.52
112,英語聽力,7,0.8,0.55
112,英語,7,0.72,0.68
112,數學,7,0.7,0.61
112,社會,7,0.79,0.45
112,自然,7,0.78,0.52
112,國文,8,0.76,0.42
112,英語聽力,8,0.74,0.54
112,英語,8,0.74,0.65
112,數學,8,0.7,0.56
112,社會,8,0.76,0.5
112,自然,8,0.66,0.51
112,國文,9,0.55,0.5
112,英語聽力,9,0.68,0.54
112,英語,9,0.64,0.71
112,數學,9,0.72,0.45
112,社會,9,0.92,0.36
112,自然,9,0.68,0.54
112,國文,10,0.71,0.53
112,英語聽力,10,0.67,0.63
112,英語,10,0.65,0.67
112,數學,10,0.58,0.59
112,社會,10,0.62,0.35
112,自然,10,0.71,0.54
112,國文,11,0.62,0.34
112,英語聽力,11,0.58,0.46
112,英語,11,0.65,0.7
112,數學,11,0.66,0.44
112,社會,11,0.88,0.37
112,自然,11,0.78,0.48
112,國文,12,0.7,0.55
112,英語聽力,12,0.81,0.61
112,英語,12,0.63,0.61
112,數學,12,0.58,0.66
112,社會,12,0.93,0.28
112,自然,12,0.59,0.49
112,國文,13,0.61,0.47
112,英語聽力,13,0.84,0.63
112,英語,13,0.58,0.56
112,數學,13,0.5,0.48
112,社會,13,0.62,0.5
112,自然,13,0.67,0.44
112,國文,14,0.78,0.44
112,英語聽力,14,0.74,0.67
112,英語,14,0.62,0.48
112,數學,14,0.56,0.56
112,社會,14,0.68,0.4
112,自然,14,0.56,0.5
112,國文,15,0.69,0.48
112,英語聽力,15,0.69,0.58
112,英語,15,0.58,0.7
112,數學,15,0.42,0.59
112,社會,15,0.48,0.36
112,自然,15,0.74,0.56
112,國文,16,0.67,0.59
112,英語聽力,16,0.69,0.61
112,英語,16,0.52,0.61
112,數學,16,0.5,0.47
112,社會,16,0.54,0.43
112,自然,16,0.59,0.54
112,國文,17,0.58,0.41
112,英語聽力,17,0.65,0.65
112,英語,17,0.63,0.68
112,數學,17,0.49,0.6
112,社會,17,0.72,0.57
112,自然,17,0.6,0.59
112,國文,18,0.84,0.52
112,英語聽力,18,0.61,0.56
112,英語,18,0.49,0.56
112,數學,18,0.43,0.56
112,社會,18,0.65,0.38
112,自然,18,0.59,0.54
112,國文,19,0.73,0.53
112,英語聽力,19,0.71,0.6
112,英語,19,0.56,0.65
112,數學,19,0.48,0.49
112,社會,19,0.65,0.52
112,自然,19,0.62,0.44
112,國文,20,0.48,0.29
112,英語聽力,20,0.57,0.53
112,英語,20,0.36,0.28
112,數學,20,0.43,0.52
112,社會,20,0.58,0.61
112,自然,20,0.65,0.57
112,國文,21,0.58,0.5
112,英語聽力,21,0.49,0.52
112,英語,21,0.49,0.43
112,數學,21,0.41,0.53
112,社會,21,0.78,0.55
112,自然,21,0.54,0.53
112,國文,22,0.64,0.44
112,英語,22,0.47,0.5
112,數學,22,0.27,0.32
112,社會,22,0.72,0.5
112,自然,22,0.69,0.51
112,國文,23,0.51,0.44
112,英語,23,0.45,0.5
112,數學,23,0.23,0.06
112,社會,23,0.8,0.46
112,自然,23,0.65,0.55
112,國文,24,0.39,0.34
112,英語,24,0.75,0.59
112,數學,24,0.69,0.46
112,社會,24,0.5,0.55
112,自然,24,0.55,0.56
112,國文,25,0.76,0.33
112,英語,25,0.76,0.61
112,數學,25,0.59,0.58
112,社會,25,0.56,0.41
112,自然,25,0.5,0.3
112,國文,26,0.73,0.52
112,英語,26,0.65,0.71
112,社會,26,0.42,0.27
112,自然,26,0.53,0.45
112,國文,27,0.94,0.41
112,英語,27,0.56,0.64
112,社會,27,0.46,0.51
112,自然,27,0.52,0.45
112,國文,28,0.9,0.46
112,英語,28,0.67,0.61
112,社會,28,0.56,0.48
112,自然,28,0.57,0.62
112,國文,29,0.82,0.53
112,英語,29,0.63,0.68
112,社會,29,0.71,0.45
112,自然,29,0.55,0.6
112,國文,30,0.78,0.57
112,英語,30,0.61,0.61
112,社會,30,0.68,0.34
112,自然,30,0.53,0.5
112,國文,31,0.79,0.51
112,英語,31,0.58,0.67
112,社會,31,0.39,0.47
112,自然,31,0.5,0.38
112,國文,32,0.78,0.57
112,英語,32,0.51,0.63
112,社會,32,0.51,0.63
112,自然,32,0.45,0.39
112,國文,33,0.82,0.55
112,英語,33,0.66,0.64
112,社會,33,0.44,0.43
112,自然,33,0.43,0.38
112,國文,34,0.81,0.58
112,英語,34,0.63,0.63
112,社會,34,0.71,0.49
112,自然,34,0.42,0.52
112,國文,35,0.85,0.54
112,英語,35,0.56,0.59
112,社會,35,0.62,0.52
112,自然,35,0.36,0.49
112,國文,36,0.57,0.48
112,英語,36,0.67,0.69
112,社會,36,0.54,0.32
112,自然,36,0.34,0.52
112,國文,37,0.64,0.6
112,英語,37,0.59,0.62
112,社會,37,0.48,0.44
112,自然,37,0.37,0.58
112,國文,38,0.75,0.52
112,英語,38,0.44,0.43
112,社會,38,0.51,0.52
112,自然,38,0.29,0.44
112,國文,39,0.55,0.51
112,英語,39,0.54,0.56
112,社會,39,0.46,0.59
112,自然,39,0.47,0.58
112,國文,40,0.49,0.46
112,英語,40,0.52,0.54
112,社會,40,0.64,0.54
112,自然,40,0.52,0.58
112,國文,41,0.48,0.42
112,英語,41,0.6,0.66
112,社會,41,0.26,0.17
112,自然,41,0.52,0.57
112,國文,42,0.41,0.43
112,英語,42,0.4,0.48
112,社會,42,0.64,0.55
112,自然,42,0.38,0.41
112,英語,43,0.4,0.55
112,社會,43,0.72,0.56
112,自然,43,0.57,0.55
112,社會,44,0.57,0.48
112,自然,44,0.51,0.6
112,社會,45,0.49,0.51
112,自然,45,0.57,0.41
112,社會,46,0.6,0.53
112,自然,46,0.46,0.41
112,社會,47,0.83,0.47
112,自然,47,0.64,0.48
112,社會,48,0.74,0.53
112,自然,48,0.74,0.55
112,社會,49,0.58,0.44
112,自然,49,0.64,0.54
112,社會,50,0.64,0.59
112,自然,50,0.75,0.49
112,社會,51,0.67,0.48
112,社會,52,0.6,0.36
112,社會,53,0.78,0.51
112,社會,54,0.6,0.53
113,國文,1,0.95,0.33
113,英語聽力,1,0.91,0.45
113,英語,1,0.75,0.59
113,數學,1,0.88,0.49
113,社會,1,0.8,0.44
113,自然,1,0.79,0.56
113,國文,2,0.78,0.43
113,英語聽力,2,0.86,0.53
113,英語,2,0.69,0.62
113,數學,2,0.9,0.42
113,社會,2,0.78,0.5
113,自然,2,0.79,0.51
113,國文,3,0.82,0.52
113,英語聽力,3,0.69,0.53
113,英語,3,0.72,0.66
113,數學,3,0.77,0.58
113,社會,3,0.81,0.48
113,自然,3,0.8,0.45
113,國文,4,0.74,0.51
113,英語聽力,4,0.86,0.54
113,英語,4,0.76,0.64
113,數學,4,0.84,0.45
113,社會,4,0.71,0.55
113,自然,4,0.71,0.57
113,國文,5,0.93,0.44
113,英語聽力,5,0.85,0.58
113,英語,5,0.78,0.64
113,數學,5,0.82,0.47
113,社會,5,0.81,0.61
113,自然,5,0.81,0.5
113,國文,6,0.66,0.39
113,英語聽力,6,0.74,0.68
113,英語,6,0.7,0.66
113,數學,6,0.74,0.58
113,社會,6,0.77,0.6
113,自然,6,0.8,0.31
113,國文,7,0.73,0.46
113,英語聽力,7,0.79,0.58
113,英語,7,0.62,0.62
113,數學,7,0.71,0.51
113,社會,7,0.8,0.51
113,自然,7,0.74,0.47
113,國文,8,0.61,0.45
113,英語聽力,8,0.78,0.63
113,英語,8,0.66,0.69
113,數學,8,0.68,0.6
113,社會,8,0.81,0.51
113,自然,8,0.77,0.49
113,國文,9,0.73,0.62
113,英語聽力,9,0.71,0.66
113,英語,9,0.72,0.62
113,數學,9,0.78,0.43
113,社會,9,0.66,0.49
113,自然,9,0.74,0.57
113,國文,10,0.84,0.43
113,英語聽力,10,0.68,0.57
113,英語,10,0.72,0.69
113,數學,10,0.65,0.64
113,社會,10,0.93,0.4
113,自然,10,0.74,0.56
113,國文,11,0.81,0.5
113,英語聽力,11,0.63,0.56
113,英語,11,0.62,0.6
113,數學,11,0.62,0.57
113,社會,11,0.85,0.5
113,自然,11,0.63,0.56
113,國文,12,0.66,0.43
113,英語聽力,12,0.72,0.73
113,英語,12,0.59,0.66
113,數學,12,0.7,0.58
113,社會,12,0.75,0.48
113,自然,12,0.65,0.58
113,國文,13,0.59,0.4
113,英語聽力,13,0.78,0.58
113,英語,13,0.57,0.58
113,數學,13,0.66,0.62
113,社會,13,0.78,0.36
113,自然,13,0.65,0.57
113,國文,14,0.74,0.46
113,英語聽力,14,0.8,0.53
113,英語,14,0.71,0.49
113,數學,14,0.55,0.51
113,社會,14,0.74,0.58
113,自然,14,0.72,0.57
113,國文,15,0.83,0.47
113,英語聽力,15,0.63,0.68
113,英語,15,0.67,0.6
113,數學,15,0.55,0.54
113,社會,15,0.74,0.46
113,自然,15,0.61,0.66
113,國文,16,0.69,0.48
113,英語聽力,16,0.64,0.68
113,英語,16,0.7,0.67
113,數學,16,0.52,0.6
113,社會,16,0.74,0.49
113,自然,16,0.5,0.3
113,國文,17,0.56,0.38
113,英語聽力,17,0.66,0.63
113,英語,17,0.44,0.43
113,數學,17,0.5,0.55
113,社會,17,0.66,0.5
113,自然,17,0.7,0.57
113,國文,18,0.56,0.57
113,英語聽力,18,0.8,0.58
113,英語,18,0.63,0.64
113,數學,18,0.43,0.42
113,社會,18,0.67,0.5
113,自然,18,0.54,0.55
113,國文,19,0.47,0.53
113,英語聽力,19,0.55,0.43
113,英語,19,0.44,0.53
113,數學,19,0.52,0.58
113,社會,19,0.74,0.48
113,自然,19,0.57,0.53
113,國文,20,0.61,0.56
113,英語聽力,20,0.58,0.53
113,英語,20,0.34,0.19
113,數學,20,0.54,0.57
113,社會,20,0.74,0.46
113,自然,20,0.57,0.5
113,國文,21,0.57,0.51
113,英語聽力,21,0.52,0.49
113,英語,21,0.51,0.51
113,數學,21,0.38,0.56
113,社會,21,0.82,0.48
113,自然,21,0.77,0.58
113,國文,22,0.62,0.53
113,英語,22,0.74,0.65
113,數學,22,0.34,0.44
113,社會,22,0.56,0.53
113,自然,22,0.57,0.52
113,國文,23,0.67,0.59
113,英語,23,0.71,0.67
113,數學,23,0.3,0.29
113,社會,23,0.86,0.47
113,自然,23,0.59,0.59
113,國文,24,0.38,0.32
113,英語,24,0.7,0.6
113,數學,24,0.35,0.36
113,社會,24,0.87,0.45
113,自然,24,0.62,0.5
113,國文,25,0.8,0.48
113,英語,25,0.7,0.65
113,數學,25,0.33,0.24
113,社會,25,0.41,0.39
113,自然,25,0.54,0.52
113,國文,26,0.88,0.55
113,英語,26,0.63,0.63
113,社會,26,0.54,0.43
113,自然,26,0.35,0.49
113,國文,27,0.81,0.59
113,英語,27,0.58,0.64
113,社會,27,0.66,0.61
113,自然,27,0.45,0.55
113,國文,28,0.78,0.58
113,英語,28,0.64,0.69
113,社會,28,0.48,0.34
113,自然,28,0.55,0.55
113,國文,29,0.84,0.59
113,英語,29,0.64,0.69
113,社會,29,0.49,0.44
113,自然,29,0.63,0.49
113,國文,30,0.78,0.55
113,英語,30,0.5,0.64
113,社會,30,0.53,0.29
113,自然,30,0.48,0.54
113,國文,31,0.63,0.62
113,英語,31,0.48,0.57
113,社會,31,0.66,0.56
113,自然,31,0.31,0.36
113,國文,32,0.8,0.58
113,英語,32,0.52,0.56
113,社會,32,0.51,0.54
113,自然,32,0.39,0.37
113,國文,33,0.84,0.59
113,英語,33,0.66,0.66
113,社會,33,0.48,0.39
113,自然,33,0.5,0.57
113,國文,34,0.79,0.62
113,英語,34,0.45,0.49
113,社會,34,0.69,0.52
113,自然,34,0.43,0.59
113,國文,35,0.85,0.57
113,英語,35,0.49,0.54
113,社會,35,0.72,0.46
113,自然,35,0.36,0.52
113,國文,36,0.59,0.46
113,英語,36,0.5,0.47
113,社會,36,0.32,0.27
113,自然,36,0.33,0.38
113,國文,37,0.85,0.49
113,英語,37,0.52,0.55
113,社會,37,0.56,0.6
113,自然,37,0.37,0.32
113,國文,38,0.64,0.46
113,英語,38,0.5,0.51
113,社會,38,0.53,0.49
113,自然,38,0.25,0.31
113,國文,39,0.38,0.31
113,英語,39,0.53,0.57
113,社會,39,0.51,0.44
113,自然,39,0.65,0.59
113,國文,40,0.42,0.37
113,英語,40,0.49,0.58
113,社會,40,0.42,0.4
113,自然,40,0.51,0.59
113,國文,41,0.46,0.35
113,英語,41,0.63,0.59
113,社會,41,0.64,0.57
113,自然,41,0.38,0.54
113,國文,42,0.61,0.49
113,英語,42,0.42,0.43
113,社會,42,0.51,0.48
113,自然,42,0.86,0.44
113,英語,43,0.6,0.64
113,社會,43,0.59,0.54
113,自然,43,0.84,0.5
113,社會,44,0.59,0.48
113,自然,44,0.63,0.47
113,社會,45,0.84,0.53
113,自然,45,0.82,0.5
113,社會,46,0.76,0.5
113,自然,46,0.61,0.58
113,社會,47,0.7,0.5
113,自然,47,0.66,0.57
113,社會,48,0.73,0.47
113,自然,48,0.74,0.47
113,社會,49,0.71,0.56
113,自然,49,0.6,0.53
113,社會,50,0.64,0.49
113,自然,50,0.35,0.41
113,社會,51,0.84,0.51
113,社會,52,0.61,0.48
113,社會,53,0.66,0.5
113,社會,54,0.59,0.39
