年度,科目,題號,通過率,鑑別度
114,國文,1,0.9,0.43
114,英語聽力,1,0.88,0.46
114,英語,1,0.81,0.55
114,數學,1,0.75,0.61
114,社會,1,0.91,0.35
114,自然,1,0.81,0.51
114,國文,2,0.95,0.39
114,英語聽力,2,0.89,0.52
114,英語,2,0.73,0.72
114,數學,2,0.82,0.57
114,社會,2,0.86,0.46
114,自然,2,0.81,0.49
114,國文,3,0.79,0.47
114,英語聽力,3,0.66,0.47
114,英語,3,0.73,0.69
114,數學,3,0.88,0.46
114,社會,3,0.83,0.49
114,自然,3,0.9,0.39
114,國文,4,0.81,0.5
114,英語聽力,4,0.84,0.52
114,英語,4,0.61,0.55
114,數學,4,0.77,0.61
114,社會,4,0.62,0.47
114,自然,4,0.69,0.65
114,國文,5,0.88,0.51
114,英語聽力,5,0.79,0.6
114,英語,5,0.73,0.67
114,數學,5,0.82,0.54
114,社會,5,0.81,0.4
114,自然,5,0.7,0.47
114,國文,6,0.79,0.47
114,英語聽力,6,0.78,0.64
114,英語,6,0.76,0.65
114,數學,6,0.77,0.55
114,社會,6,0.85,0.52
114,自然,6,0.95,0.32
114,國文,7,0.84,0.41
114,英語聽力,7,0.81,0.65
114,英語,7,0.6,0.64
114,數學,7,0.78,0.56
114,社會,7,0.79,0.5
114,自然,7,0.78,0.52
114,國文,8,0.8,0.44
114,英語聽力,8,0.82,0.58
114,英語,8,0.72,0.56
114,數學,8,0.75,0.59
114,社會,8,0.66,0.53
114,自然,8,0.68,0.61
114,國文,9,0.78,0.48
114,英語聽力,9,0.73,0.64
114,英語,9,0.66,0.72
114,數學,9,0.72,0.55
114,社會,9,0.52,0.44
114,自然,9,0.75,0.52
114,國文,10,0.83,0.53
114,英語聽力,10,0.78,0.63
114,英語,10,0.68,0.57
114,數學,10,0.58,0.6
114,社會,10,0.62,0.44
114,自然,10,0.72,0.52
114,國文,11,0.72,0.57
114,英語聽力,11,0.71,0.62
114,英語,11,0.61,0.59
114,數學,11,0.72,0.54
114,社會,11,0.9,0.35
114,自然,11,0.71,0.49
114,國文,12,0.71,0.48
114,英語聽力,12,0.85,0.59
114,英語,12,0.7,0.72
114,數學,12,0.66,0.41
114,社會,12,0.88,0.49
114,自然,12,0.7,0.54
114,國文,13,0.57,0.44
114,英語聽力,13,0.63,0.68
114,英語,13,0.52,0.64
114,數學,13,0.61,0.59
114,社會,13,0.74,0.38
114,自然,13,0.7,0.61
114,國文,14,0.55,0.39
114,英語聽力,14,0.72,0.66
114,英語,14,0.48,0.31
114,數學,14,0.56,0.49
114,社會,14,0.63,0.52
114,自然,14,0.67,0.52
114,國文,15,0.61,0.48
114,英語聽力,15,0.59,0.7
114,英語,15,0.56,0.53
114,數學,15,0.6,0.51
114,社會,15,0.78,0.51
114,自然,15,0.74,0.52
114,國文,16,0.52,0.48
114,英語聽力,16,0.63,0.49
114,英語,16,0.56,0.68
114,數學,16,0.5,0.49
114,社會,16,0.74,0.41
114,自然,16,0.68,0.57
114,國文,17,0.51,0.48
114,英語聽力,17,0.72,0.61
114,英語,17,0.48,0.47
114,數學,17,0.51,0.49
114,社會,17,0.6,0.49
114,自然,17,0.66,0.57
114,國文,18,0.59,0.54
114,英語聽力,18,0.72,0.62
114,英語,18,0.48,0.57
114,數學,18,0.44,0.44
114,社會,18,0.72,0.39
114,自然,18,0.59,0.61
114,國文,19,0.61,0.53
114,英語聽力,19,0.58,0.42
114,英語,19,0.38,0.36
114,數學,19,0.48,0.44
114,社會,19,0.67,0.39
114,自然,19,0.6,0.45
114,國文,20,0.51,0.46
114,英語聽力,20,0.67,0.63
114,英語,20,0.79,0.64
114,數學,20,0.35,0.41
114,社會,20,0.65,0.42
114,自然,20,0.55,0.45
114,國文,21,0.61,0.54
114,英語聽力,21,0.53,0.47
114,英語,21,0.76,0.65
114,數學,21,0.44,0.5
114,社會,21,0.63,0.58
114,自然,21,0.65,0.56
114,國文,22,0.51,0.55
114,英語,22,0.68,0.7
114,數學,22,0.33,0.26
114,社會,22,0.72,0.53
114,自然,22,0.65,0.58
114,國文,23,0.43,0.42
114,英語,23,0.7,0.7
114,數學,23,0.3,0.33
114,社會,23,0.68,0.5
114,自然,23,0.5,0.49
114,國文,24,0.3,0.27
114,英語,24,0.64,0.66
114,數學,24,0.72,0.52
114,社會,24,0.82,0.49
114,自然,24,0.56,0.41
114,國文,25,0.9,0.46
114,英語,25,0.66,0.6
114,數學,25,0.59,0.55
114,社會,25,0.73,0.41
114,自然,25,0.53,0.45
114,國文,26,0.86,0.56
114,英語,26,0.75,0.63
114,社會,26,0.74,0.5
114,自然,26,0.62,0.57
114,國文,27,0.82,0.55
114,英語,27,0.63,0.69
114,社會,27,0.71,0.58
114,自然,27,0.42,0.22
114,國文,28,0.89,0.48
114,英語,28,0.51,0.61
114,社會,28,0.63,0.55
114,自然,28,0.57,0.57
114,國文,29,0.64,0.38
114,英語,29,0.69,0.65
114,社會,29,0.57,0.47
114,自然,29,0.54,0.62
114,國文,30,0.84,0.53
114,英語,30,0.54,0.62
114,社會,30,0.66,0.52
114,自然,30,0.63,0.64
114,國文,31,0.84,0.45
114,英語,31,0.69,0.65
114,社會,31,0.65,0.61
114,自然,31,0.47,0.54
114,國文,32,0.81,0.53
114,英語,32,0.46,0.47
114,社會,32,0.7,0.52
114,自然,32,0.47,0.48
114,國文,33,0.7,0.5
114,英語,33,0.57,0.63
114,社會,33,0.38,0.44
114,自然,33,0.43,0.48
114,國文,34,0.8,0.52
114,英語,34,0.57,0.61
114,社會,34,0.53,0.47
114,自然,34,0.53,0.58
114,國文,35,0.75,0.46
114,英語,35,0.6,0.56
114,社會,35,0.77,0.56
114,自然,35,0.33,0.48
114,國文,36,0.52,0.39
114,英語,36,0.49,0.49
114,社會,36,0.68,0.58
114,自然,36,0.42,0.48
114,國文,37,0.58,0.53
114,英語,37,0.54,0.56
114,社會,37,0.43,0.24
114,自然,37,0.47,0.48
114,國文,38,0.62,0.54
114,英語,38,0.45,0.42
114,社會,38,0.43,0.35
114,自然,38,0.41,0.35
114,國文,39,0.54,0.52
114,英語,39,0.59,0.61
114,社會,39,0.65,0.55
114,自然,39,0.43,0.46
114,國文,40,0.58,0.34
114,英語,40,0.59,0.61
114,社會,40,0.46,0.5
114,自然,40,0.46,0.36
114,國文,41,0.5,0.45
114,英語,41,0.68,0.64
114,社會,41,0.32,0.39
114,自然,41,0.31,0.29
114,國文,42,0.41,0.28
114,英語,42,0.5,0.51
114,社會,42,0.6,0.53
114,自然,42,0.37,0.56
114,英語,43,0.53,0.6
114,社會,43,0.71,0.58
114,自然,43,0.59,0.49
114,社會,44,0.65,0.53
114,自然,44,0.42,0.38
114,社會,45,0.67,0.5
114,自然,45,0.65,0.47
114,社會,46,0.57,0.38
114,自然,46,0.72,0.55
114,社會,47,0.82,0.46
114,自然,47,0.42,0.28
114,社會,48,0.5,0.57
114,自然,48,0.54,0.54
114,社會,49,0.55,0.56
114,自然,49,0.37,0.49
114,社會,50,0.59,0.53
114,自然,50,0.53,0.58
114,社會,51,0.63,0.45
114,社會,52,0.49,0.5
114,社會,53,0.45,0.47
114,社會,54,0.73,0.51
115,國文,1,0.86,0.44
115,英語聽力,1,0.84,0.49
115,英語,1,0.7,0.58
115,數學,1,0.83,0.55
115,社會,1,0.8,0.38
115,自然,1,0.8,0.49
115,國文,2,0.93,0.4
115,英語聽力,2,0.85,0.52
115,英語,2,0.74,0.65
115,數學,2,0.82,0.5
115,社會,2,0.84,0.43
115,自然,2,0.87,0.38
115,國文,3,0.89,0.45
115,英語聽力,3,0.83,0.55
115,英語,3,0.76,0.65
115,數學,3,0.77,0.59
115,社會,3,0.71,0.48
115,自然,3,0.74,0.44
115,國文,4,0.75,0.36
115,英語聽力,4,0.8,0.62
115,英語,4,0.71,0.67
115,數學,4,0.81,0.55
115,社會,4,0.68,0.48
115,自然,4,0.82,0.46
115,國文,5,0.78,0.55
115,英語聽力,5,0.77,0.68
115,英語,5,0.55,0.57
115,數學,5,0.76,0.53
115,社會,5,0.7,0.56
115,自然,5,0.76,0.5
115,國文,6,0.55,0.44
115,英語聽力,6,0.78,0.6
115,英語,6,0.71,0.62
115,數學,6,0.77,0.52
115,社會,6,0.77,0.53
115,自然,6,0.87,0.42
115,國文,7,0.72,0.42
115,英語聽力,7,0.72,0.64
115,英語,7,0.6,0.65
115,數學,7,0.71,0.62
115,社會,7,0.89,0.44
115,自然,7,0.64,0.56
115,國文,8,0.75,0.45
115,英語聽力,8,0.79,0.69
115,英語,8,0.53,0.51
115,數學,8,0.75,0.56
115,社會,8,0.7,0.49
115,自然,8,0.9,0.4
115,國文,9,0.61,0.48
115,英語聽力,9,0.78,0.64
115,英語,9,0.67,0.65
115,數學,9,0.65,0.59
115,社會,9,0.77,0.61
115,自然,9,0.76,0.5
115,國文,10,0.7,0.48
115,英語聽力,10,0.76,0.6
115,英語,10,0.6,0.65
115,數學,10,0.64,0.56
115,社會,10,0.96,0.3
115,自然,10,0.62,0.49
115,國文,11,0.66,0.44
115,英語聽力,11,0.61,0.63
115,英語,11,0.7,0.63
115,數學,11,0.69,0.59
115,社會,11,0.8,0.39
115,自然,11,0.67,0.55
115,國文,12,0.58,0.47
115,英語聽力,12,0.72,0.64
115,英語,12,0.5,0.58
115,數學,12,0.64,0.61
115,社會,12,0.68,0.61
115,自然,12,0.63,0.56
115,國文,13,0.62,0.59
115,英語聽力,13,0.67,0.68
115,英語,13,0.56,0.62
115,數學,13,0.69,0.62
115,社會,13,0.69,0.58
115,自然,13,0.56,0.65
115,國文,14,0.57,0.4
115,英語聽力,14,0.77,0.65
115,英語,14,0.52,0.6
115,數學,14,0.62,0.57
115,社會,14,0.62,0.31
115,自然,14,0.81,0.41
115,國文,15,0.57,0.48
115,英語聽力,15,0.68,0.63
115,英語,15,0.38,0.44
115,數學,15,0.64,0.56
115,社會,15,0.56,0.54
115,自然,15,0.47,0.4
115,國文,16,0.51,0.5
115,英語聽力,16,0.71,0.63
115,英語,16,0.58,0.43
115,數學,16,0.5,0.49
115,社會,16,0.58,0.56
115,自然,16,0.7,0.57
115,國文,17,0.56,0.56
115,英語聽力,17,0.61,0.51
115,英語,17,0.54,0.58
115,數學,17,0.55,0.53
115,社會,17,0.57,0.54
115,自然,17,0.67,0.53
115,國文,18,0.49,0.44
115,英語聽力,18,0.67,0.69
115,英語,18,0.44,0.35
115,數學,18,0.48,0.48
115,社會,18,0.6,0.47
115,自然,18,0.6,0.57
115,國文,19,0.5,0.46
115,英語聽力,19,0.67,0.64
115,英語,19,0.73,0.65
115,數學,19,0.45,0.49
115,社會,19,0.8,0.56
115,自然,19,0.66,0.5
115,國文,20,0.42,0.31
115,英語聽力,20,0.51,0.38
115,英語,20,0.82,0.57
115,數學,20,0.39,0.28
115,社會,20,0.58,0.56
115,自然,20,0.52,0.33
115,國文,21,0.49,0.48
115,英語聽力,21,0.41,0.35
115,英語,21,0.62,0.41
115,數學,21,0.37,0.43
115,社會,21,0.78,0.6
115,自然,21,0.55,0.34
115,國文,22,0.54,0.43
115,英語,22,0.73,0.66
115,數學,22,0.27,0.13
115,社會,22,0.59,0.51
115,自然,22,0.63,0.49
115,國文,23,0.46,0.37
115,英語,23,0.71,0.66
115,數學,23,0.47,0.46
115,社會,23,0.7,0.49
115,自然,23,0.6,0.51
115,國文,24,0.8,0.45
115,英語,24,0.68,0.66
115,數學,24,0.38,0.41
115,社會,24,0.45,0.2
115,自然,24,0.56,0.62
115,國文,25,0.86,0.49
115,英語,25,0.5,0.61
115,數學,25,0.43,0.37
115,社會,25,0.62,0.5
115,自然,25,0.53,0.39
115,國文,26,0.71,0.49
115,英語,26,0.66,0.62
115,社會,26,0.56,0.39
115,自然,26,0.44,0.61
115,國文,27,0.87,0.45
115,英語,27,0.59,0.61
115,社會,27,0.53,0.55
115,自然,27,0.56,0.56
115,國文,28,0.88,0.54
115,英語,28,0.6,0.55
115,社會,28,0.49,0.48
115,自然,28,0.55,0.5
115,國文,29,0.81,0.46
115,英語,29,0.64,0.71
115,社會,29,0.5,0.52
115,自然,29,0.53,0.36
115,國文,30,0.84,0.56
115,英語,30,0.67,0.67
115,社會,30,0.67,0.48
115,自然,30,0.51,0.65
115,國文,31,0.81,0.46
115,英語,31,0.53,0.6
115,社會,31,0.61,0.65
115,自然,31,0.58,0.55
115,國文,32,0.51,0.45
115,英語,32,0.65,0.66
115,社會,32,0.68,0.65
115,自然,32,0.38,0.33
115,國文,33,0.83,0.54
115,英語,33,0.58,0.56
115,社會,33,0.64,0.45
115,自然,33,0.46,0.37
115,國文,34,0.77,0.56
115,英語,34,0.55,0.67
115,社會,34,0.47,0.34
115,自然,34,0.47,0.47
115,國文,35,0.71,0.49
115,英語,35,0.63,0.69
115,社會,35,0.69,0.58
115,自然,35,0.43,0.49
115,國文,36,0.79,0.48
115,英語,36,0.46,0.52
115,社會,36,0.56,0.55
115,自然,36,0.45,0.69
115,國文,37,0.8,0.52
115,英語,37,0.5,0.53
115,社會,37,0.53,0.64
115,自然,37,0.41,0.48
115,國文,38,0.73,0.57
115,英語,38,0.56,0.53
115,社會,38,0.56,0.46
115,自然,38,0.42,0.39
115,國文,39,0.52,0.51
115,英語,39,0.48,0.53
115,社會,39,0.53,0.43
115,自然,39,0.42,0.53
115,國文,40,0.42,0.45
115,英語,40,0.68,0.66
115,社會,40,0.52,0.6
115,自然,40,0.27,0.22
115,國文,41,0.68,0.51
115,英語,41,0.58,0.65
115,社會,41,0.42,0.47
115,自然,41,0.23,0.22
115,國文,42,0.35,0.42
115,英語,42,0.49,0.54
115,社會,42,0.44,0.55
115,自然,42,0.73,0.52
115,英語,43,0.61,0.66
115,社會,43,0.47,0.44
115,自然,43,0.7,0.58
115,社會,44,0.87,0.41
115,自然,44,0.76,0.44
115,社會,45,0.62,0.47
115,自然,45,0.63,0.57
115,社會,46,0.84,0.33
115,自然,46,0.64,0.48
115,社會,47,0.8,0.51
115,自然,47,0.49,0.47
115,社會,48,0.88,0.49
115,自然,48,0.59,0.64
115,社會,49,0.71,0.53
115,自然,49,0.38,0.46
115,社會,50,0.5,0.44
115,自然,50,0.42,0.47
115,社會,51,0.86,0.47
115,社會,52,0.53,0.6
115,社會,53,0.56,0.6
115,社會,54,0.45,0.56
