序號,章,節,概念,次概念,考法,題組,題組題幹,題組圖1,題組圖2,題幹,題幹圖1,題幹圖2,選項A,選項B,選項C,選項D,圖A,圖B,圖C,圖D,出處,答案
190,04協調,1神經系統,神經系統綜合性問題,,,,,,,添文將右手放入甲杯水中立刻收回，感覺滾燙疼痛；之後再將右手放入乙杯水中，感覺清涼而疼痛減輕。下列敘述何者錯誤？,,,痛的感覺在脊髓產生,甲杯水溫高於乙杯水溫,手立刻收回是一種反射動作,熱量的傳播途徑為：甲杯水→手→乙杯水,,,,,093基本學測一,A
219,05恆定,1體溫恆定,內溫外溫的動物種類,,,,,,,下列何種動物的體溫會隨環境溫度的變化而明顯的改變？,,,人類,海豚,麻雀,鯉魚,,,,,093基本學測一,D
282,06生殖,3動物有性生殖,動物如何進行生殖,,,,,,,下列四種動物的胚胎發展過程中，何者沒有臍帶的形成？,,,狗,駱駝,海豚,鴨嘴獸,,,,,093基本學測一,D
294,07遺傳,3突變,遺傳疾病,遺傳疾病的種類,,,,,,下列哪一種疾病不是遺傳性的疾病？,,,血友病,蠶豆症,B型肝炎,地中海貧血症,,,,,093基本學測一,C
298,07遺傳,3突變,突變綜合性問題,,,,,,,下列有關突變的敘述，何者錯誤？,,,自然突變產生的機率極低,突變對個體而言都是有害的,X光、紫外線會增加基因的突變機率,防腐劑、漂白劑可能造成基因的突變,,,,,093基本學測一,B
325,08演化,2化石,化石判斷地層,,,,,,,在某地的同一岩層中，找到了暴龍和三觭龍的化石。依據前述地層中的化石證據，下列推論何者最合理？,,,牠們的血緣關係相近,牠們的生存年代相近,牠們的食物種類相近,牠們的身體構造相近,,,,,093基本學測一,B
361,09分類,2原核生物,原核生物的特徵,,給特徵猜生物,,,,,近代生物學家將生分為五界。已知結核菌除了細胞膜之外，細胞內沒有其他由膜包圍成的特殊構造。以此推測結核菌應屬於下列哪一界？,,,原核生物界,原生生物界,菌物界,植物界,,,,,093基本學測一,A
372,09分類,5動物界,昆蟲的特徵,昆蟲的特徵,給生物列特徵,,,,,下列有關蝴蝶的敘述，何者正確？,,,變態過程須經過蛹期,屬於軟體動物門的昆蟲綱,具有一對翅，可用來飛翔,生殖方式為體外受精，卵生,,,,,093基本學測一,A
406,10生態,6生物多樣性,維持生物多樣性的目的,,,,,,,自然界中充滿著形形色色的生物，但生態學家們仍努力保護現存的物種。其主要目的為下列何者？,,,成立自然保留區或國家公園,維持生物多樣性，達到生態平衡,創造新的物種，提高國際知名度,提供國人更多休閒旅遊和教育的環境,,,,,093基本學測一,B
415,10生態,2交互關係,生物競爭,生物競爭的原因,,,,,,生物的演化過程中，當某一族群的個體數過多時，彼此間會互相競爭。發生競爭現象的主要原因為下列何者？,,,個體間的性狀有差異,不同個體的基因組合不同,個體適應環境的能力各有不同,個體數量超過環境所能提供的最大負荷量,,,,,093基本學測一,D
450,10生態,1族群與群集,食物網的分析,,,,,,,下圖為一食物網的示意圖。下列關於食物網中生物的敘述，何者最合理？,m0305,,甲可吸收太陽能進行光合作用,若乙數目增加時，則戊的數目會增加,若丁的族群消失，則將無法構成食物網,若有毒物質汙染環境時，則在己中的累積濃度最高,,,,,093基本學測一,A
30,11其他,科學史,科學家與其研究,,,,,,,關於生物學家以及他們對生物學的貢獻，下列何者錯誤？,,,林奈制定了二名法，為物種命名,孟德爾研究豌豆雜交，歸納出遺傳法則,達爾文在環球航海後發表有關演化的天擇說,莫根用自製顯微鏡看見軟木塞薄片是由小格子所構成,,,,,093基本學測二,D
94,02養分,4消化系統,消化管的功能,,,,,,,已知某種病毒在pH值小於6的環境中即被消滅，頭頭誤食被該病毒感染的豬肉，則病毒可能在頭頭體內的哪一器官中被消滅？,,,食道,胃,小腸,大腸,,,,,093基本學測二,B
160,03運輸,1植物的運輸,維管束,維管束的功能與位置,,,,,,將咸豐草插於裝有黑色墨水的量筒中，如圖所示。一小時之後將莖橫切，取一薄片置於顯微鏡下觀察，此時所見的情形，最可能為下列何者？,m0133,,,,,,m0134,m0135,m0136,m0137,093基本學測二,C
176,03運輸,2循環系統,血管,血管,,,,,,微血管為血液與細胞間物質交換的場所，這是因為微血管具有下列何種特質？,,,管壁細胞上有許多小孔,僅由單一層細胞構成,管壁較有彈性,管徑較粗,,,,,093基本學測二,B
197,04協調,4植物感應,向性,植物生長現象發生的原因,,,,,,含羞草的葉片長得像羽毛一樣，一旦受到觸碰便會閉合起來。這種觸發運動的原理和下列哪一個植物的感應現象原理相同？,,,鳳仙花的開花,綠豆芽的向光性,酢漿草的睡眠運動,絲瓜的莖繞著竹竿生長,,,,,093基本學測二,C
238,05恆定,2氣體恆定,呼吸作用,呼吸作用的過程,,,,,,有關呼吸作用的敘述，下列何者正確？,,,鳥類、魚類行呼吸作用，所呼出的氣體不同,動物、植物行呼吸作用，所呼出的氣體相同,植物行呼吸作用和光合作用所釋放的氣體相同,青蛙用鰓呼吸、烏龜用肺呼吸，兩者所釋放的氣體不同,,,,,093基本學測二,B
259,06生殖,4人類生殖,生殖器官的功能,,,,,,,如圖為女性生殖器官圖，下列敘述何者正確？,m0230,,甲為卵受精的位置,乙為卵的製造場所,丙為胎兒發育的場所,丁為尿液排出的地方,,,,,093基本學測二,C
277,06生殖,1細胞分裂與減數分裂,體細胞和生殖細胞的染色體判斷,,,,,,,已知臺灣水牛的體細胞有48條染色體，當母牛懷有雙胞胎時，這兩個胚胎的細胞分別具有幾條染色體？,,,24，24,24，48,48，48,48，96,,,,,093基本學測二,C
285,06生殖,1細胞分裂與減數分裂,細胞分裂進行場所,,,,,,,若要觀察植物細胞分裂，則取圖中植物哪一部位的組織最為適當？,m0220,,甲,乙,丙,丁,,,,,093基本學測二,A
334,08演化,1天擇與人擇,人擇,人擇,,,,,,臺南關廟地區盛產鳳梨，有蘋果鳳梨、釋迦鳳梨等品種；這些新品種鳳梨的產生，和下列何者最無關係？,,,天擇,人擇,突變,品種改良,,,,,093基本學測二,A
398,09分類,5動物界,脊椎動物的特徵,海豚的分類與哺乳類的特徵,給生物列特徵,,,,,阿寶觀賞海豚精采的表演時，不禁讚嘆：「好聰明的魚啊！」。關於這句話的描述，下列何者最合理？,,,正確，海豚是智商很高的魚,正確，海豚用肺呼吸是高等的魚類,錯誤，海豚會游泳但非魚類,海豚用鰓呼吸但非魚類,,,,,093基本學測二,C
444,10生態,7環境,避免生態失衡的方法,,,,,,,關於自然資源保育，下列何種措施最適宜？,,,保留野生動、植物的品種和棲地,大量飼養櫻花鉤吻鮭做為寵物,填平溼地、沼澤，以利植物生長,在所有河口廣植紅樹林,,,,,093基本學測二,A
514,02養分,1養分,熱量計算,,把表格資料畫成圖,g0204,,,,欣欣果是新推出的一種食品，其營養成分標示如下表所示。根據上表所提供的資料，下列哪一圖可以表示欣欣果中營養素的分布情形？,,m0071,,,,,m0072,m0073,m0074,m0075,093基本學測二,A
516,02養分,1養分,圖表解讀,,圖表解讀,g0204,,,,欣欣果是新推出的一種食品，其營養成分標示如下表所示。為了使消費者對營養有進一步的認識，說明書中建議一般國中學生（年齡：13～15歲；體重：男生約為55公斤重，女生約為48公斤重）每人每日熱量及營養素之攝取量如下表。小美是15歲體重重的國中女生，小善是13歲體重重的國中男生，假設小美與小善食用欣欣果可完全吸收其中的營養成分，則根據上述兩表，下列敘述何者正確？,m0058,m0059,食用欣欣果所取得的熱量約有一半來自脂肪,食用欣欣果可獲得上表所建議的鐵質攝取量,小善食用欣欣果，可獲得上表所建議的熱量,小美食用欣欣果，可獲得上表所建議的鈣和磷攝取量,,,,,093基本學測二,D
56,02養分,1養分,養分檢驗,,,,,,,有兩包未標示的白色粉末，已知它們分別為葡萄糖與麵粉。下列哪一項實驗最適合用來區分兩者？,,,取適量粉末配成水溶液，分別以藍色石蕊試紙測試，觀察是否變色,取適量粉末置於試管，分別加入少量稀碘液，觀察是否變藍紫色,取適量粉末置於試管，分別加入一滴濃硫酸，觀察是否變黑色,取適量粉末配成水溶液，分別通以直流電，觀察是否導電,,,,,094基本學測一,B
61,02養分,4消化系統,消化系統綜合性問題,,,,,,,關於人體消化過程的敘述，下列何者正確？,,,胃內的酵素在鹼性環境下活性較強,水分進入人體後，最先在大腸中被吸收,唾腺可分泌酵素，將蛋白質分解成胺基酸,人體分解食物及吸收養分的主要部位為小腸,,,,,094基本學測一,D
70,02養分,2酵素,酵素的活性,,圖表判讀,,,,,下圖為某生物體內酵素活性變化的示意圖。下列關於此酵素的敘述何者最恰當？,m0085,,不可能為人體內的酵素,在中性pH值的環境中活性最高,其活性不會一直隨溫度升高而增加,溫度對酵素活性的影響比pH值的影響來得高,,,,,094基本學測一,C
108,03運輸,1植物的運輸,維管束,維管束綜合性問題,,,,,,關於植物的構造與功能，下列敘述何者正確？,,,玫瑰的花是營養器官,樟樹的莖可深入土壤吸收水分,椰子樹利用葉子的擴散作用將水輸送到樹梢,芹菜吸收紅墨水後，莖內的維管束會變成紅色,,,,,094基本學測一,D
116,03運輸,2循環系統,血液,血球的功能,,,,,,下圖為人體中的血液組成。下列敘述何者正確？,m0141,,甲可攜帶氧氣，以供給全身細胞利用,乙使血液呈紅色，具有攜帶養分的功能,丙可對抗外來致病物質，保護人體健康,丁在人體受傷時，可發揮幫助血液凝固的功能,,,,,094基本學測一,C
162,04協調,1神經系統,神經傳遞路徑,,,,,,,下圖為小明左手指尖受到突來的刺激後，所引起左手臂肌肉收縮的過程，此過程涉及不同的神經及傳導方向，下列敘述何者正確？,,m0165,神經傳導方向是由乙到甲,反覆練習可縮短此反應的時間,此反應不涉及大腦的思考與判斷,此反應和打棒球揮棒一樣，同屬身體的反射動作,,,,,094基本學測一,C
217,04協調,2內分泌系統,血糖調控,,,,,,,如下圖所示，甲、乙分別代表某種可影響血糖濃度變化的激素，則「乙」最有可能是下列哪一種激素？,m0175,,甲狀腺素,性激素,胰島素,升糖素,,,,,094基本學測一,D
251,06生殖,5植物有性生殖,花的構造,,,,,,,小薔欲在「探索花的構造」實驗中觀察花粉。下列敘述何者錯誤？,,,小薔可使用複式顯微鏡來觀察,花粉裡面含有卵細胞,花粉取自於雄蕊的花藥,若要再放大觀察，可調整物鏡的倍數,,,,,094基本學測一,B
269,06生殖,1細胞分裂與減數分裂,染色體的判斷,,,,,,,下圖為一個孕婦做羊膜穿刺檢查後，得到胎兒的染色體圖，由此圖推論，下列敘述何者正確？,m0218,,胎兒是男性,胎兒有23對體染色體,胎兒性別由第21對染色體決定,胎兒染色體中有1對為性染色體,,,,,094基本學測一,D
358,09分類,4植物界,被子植物的特徵,單子葉植物的特徵,給生物列特徵,,,,,小威想讓阿湘認識公園中單子葉的植物，他應選擇具有下列哪一種特徵的植物？,,,成熟葉背有孢子囊堆,不會產生種子,葉脈為平行脈,不會開花,,,,,094基本學測一,C
391,09分類,1命名與分類,分類階層的分析,,,,,,,有關生物分類階層的敘述，下列何者正確？,,,「同科」必「同屬」,「同綱」必「同目」,「同綱」的親緣比「同科」的親緣近,「同屬」的親緣比「同綱」的親緣近,,,,,094基本學測一,D
423,10生態,7環境,避免生態失衡的方法,,,,,,,關於砍伐山坡林木對生態環境所造成的影響，下列敘述何者錯誤？,,,生物群集(群落)的複雜性增加,固著土壤的功能變差,涵養水源的能力減弱,淨化空氣的功能降低,,,,,094基本學測一,A
456,10生態,5生態,生態綜合性問題,,,,,,,關於紅樹林生態系的敘述，下列何者錯誤？,,,紅樹林中的食物豐富，可供養眾多的生物,增加紅樹林的種植面積，會增強地球的溫室效應,紅樹林中招潮蟹、水筆仔等各種生物族群的集合，稱為群集,紅樹林中的生物群集和其生存環境共同組成了紅樹林生態系,,,,,094基本學測一,B
518,02養分,3光合作用,光合作用的過程,,,g0301,,,,某科學家將四瓶含有嗜氧細菌(一種需要氧氣的細菌)的培養液中放入水綿(一種藻類)，再分別利用四種不同色光照射水綿，如圖一所示，經過一段時間後，以顯微鏡觀察並計算細菌數量，結果如圖二所示。根據上述，推測這位科學家最有可能在進行何種生理作用之研究？,m0096,,運輸作用,氧化作用,光合作用,蒸散作用,,,,,094基本學測一,C
519,02養分,3光合作用,光合作用的過程,,,g0301,,,,某科學家將四瓶含有嗜氧細菌(一種需要氧氣的細菌)的培養液中放入水綿(一種藻類)，再分別利用四種不同色光照射水綿，如圖一所示，經過一段時間後，以顯微鏡觀察並計算細菌數量，結果如圖二所示。根據圖的結果，若要增加此生理作用的速率，可考慮以下列何種方式進行？,m0097,,讓水綿照紫光,讓水綿照綠光,降低培養液溫度,減少此種細菌的數量,,,,,094基本學測一,A
5,01生命世界,1顯微鏡,物鏡的視野,,,,,,,下圖為血球在複式顯微鏡下，以4倍物鏡所觀察到的影像。若在同一視野下，換成10倍的物鏡觀察，則最有可能看見下列何種影像？,m0006,,,,,,m0007,m0008,m0009,m0010,094基本學測二,D
26,01生命世界,4生物體的組成層次,組成層次的類型,,,,,,,媽媽從市場買了一塊排骨肉。在生物學上，下列何者與排骨肉屬於不同的生物體組成層次？,,,榕樹的維管束,鴨跖草葉的上表皮,人體口腔的皮膜,豌豆莢中的豌豆,,,,,094基本學測二,D
209,05恆定,3水分恆定,水分維持恆定的方式,,,,,,,下列生物的構造，何者是為了減少表面積所演化而成？,,,仙人掌的針狀葉,人類小腸上的絨毛,響尾蛇身上的鱗片,麻雀翅膀上的羽毛,,,,,094基本學測二,A
218,05恆定,3水分恆定,泌尿系統的功能,,,,,,,下列關於人體腎臟的敘述，何者正確？,,,屬於消化器官,具有長期貯存尿液的功能,形成的尿液可經由尿道送入膀胱,可將血液中的含氮廢物由尿液排出體外,,,,,094基本學測二,D
229,05恆定,3水分恆定,水分維持恆定的方式,,圖表判讀,,,,,下表為大雄每日水分的平均攝入量與排出量，根據資料判斷，下列推論何者錯誤？,m0208,,水分主要靠尿液排出,水分的攝入主要來自於飲水,水分的攝入量及排出量維持平衡,水分經由食物的攝入量高於尿液的排出量,,,,,094基本學測二,D
278,06生殖,1細胞分裂與減數分裂,分裂時染色體變化,,,,,,,下圖為甲、乙兩種細胞分裂過程中染色體數目變化的示意圖。根據此圖判斷下列敘述何者正確？,m0215,,甲最後可產生二個子細胞,甲為細胞分裂，乙為減數分裂,人類精子的形成須經過甲分裂過程,由甲分裂方式進行生殖產生的後代，其遺傳物質和親代完全相同,,,,,094基本學測二,C
368,09分類,5動物界,脊椎動物的特徵,,多種生物的比較,,,,,童話故事中，鯉魚國的公主喝下巫婆給的魔藥後，由「魚類」變成「人類」。此種生理構造的轉變，由生物學的觀點判斷，下表中何者為合理的描述？,m0293,,甲、乙,甲、丁,乙、丙,丙、丁,,,,,094基本學測二,B
387,09分類,4植物界,植物的特徵,,多種生物的比較,,,,,下圖將植物依其特徵分成甲、乙、丙、丁四個家族。若有一植物具有維管束，且會產生裸露的種子，則此植物應屬於下列哪一家族？,m0288,,甲,乙,丙,丁,,,,,094基本學測二,A
422,10生態,6生物多樣性,維持生物多樣性的方法,,,,,,,下列何種措施有助於維護臺灣生物的多樣性？,,,擴大農業耕地面積,由國外引進外來種生物,設立國家公園與生態保護區,捕捉溪流中的魚飼養在水族箱裡,,,,,094基本學測二,C
445,10生態,1族群與群集,生態系的角色-從食物網判斷,,,,,,,食物網中，以生產者為食的動物為初級消費者，以初級消費者為食的動物為二級消費者，其餘依次類推。下圖為一玉米田中的食物網，下列何種生物同時擔任二、三級消費者？,m0302,,老鷹,麻雀,松鼠,蝗蟲,,,,,094基本學測二,A
19,01生命世界,2動植物細胞的比較,細胞間的比較,,,,,,,撕取鴨跖草的下表皮做成玻片標本，在顯微鏡下觀察如下圖所示，在此圖甲、乙兩種細胞相同的是下列哪一項？,m0029,,細胞的形狀,細胞壁的厚度,細胞的功能,細胞核內的DNA,,,,,094基測題本一,D
93,02養分,1養分,養分檢驗,,,,,,,小莉用筷子沾著稀飯的湯在乾淨的白布上寫字，等字乾了就看不見了，若想讓白布上的字顯現出來，可噴灑下列哪一種溶液？,,,醋,酒精,食鹽水,稀碘液,,,,,094基測題本一,D
105,03運輸,2循環系統,血液,血漿的功能,,,,,,阿亮在路上被一隻狗追趕，拼命跑而分泌大量腎上腺素，此腎上腺素由下列何者所運送？,,,導管,血漿,紅血球,淋巴球,,,,,094基測題本一,B
181,04協調,2內分泌系統,血糖調控,,,,,,,如圖為人體各個內分泌腺分布情形，其中哪一種腺體的激素分泌不足時，會造成血液中葡萄糖濃度增加並隨尿液排出，而形成糖尿病？,m0174,,甲,乙,丙,丁,,,,,094基測題本一,C
187,04協調,1神經系統,神經傳遞路徑,,,,,,,小信騎摩托車發生車禍，雖然神智清楚，下半身卻因而癱瘓，圖中何處受傷最可能導致此種結果？,m0168,,甲,乙,丙,丁,,,,,094基測題本一,D
200,04協調,4植物感應,向性,植物生長現象發生的原因,,,,,,下列常見的現象，何者不是植物「向性」的表現？,,,酢漿草葉片表現睡眠運動,葡萄莖沿竹竿向上捲曲爬升,窗邊的盆栽植物朝窗外生長,曠野中的樹木長得高大挺拔,,,,,094基測題本一,A
265,06生殖,4人類生殖,生殖方式的判斷,,,,,,,阿明夫婦到醫院做試管嬰兒。醫生將精子與卵子在試管中結合後，再植入母體內發育。此種過程是屬於下列何種生殖方式？,,,體外受精，卵生,體外受精，胎生,體內受精，卵生,體內受精，胎生,,,,,094基測題本一,B
305,07遺傳,2人類的遺傳,性染色體,,,,,,,小新體細胞進行分裂時，複製後的性染色體如下圖所示，甲、乙各為其中一條染色體，則下列敘述何者錯誤？,m0242,,甲、乙為同源染色體,甲來自母親的遺傳，而乙來自父親,小新的口腔表皮細胞缺乏甲、乙染色體,小新的精子不會同時具有甲、乙染色體,,,,,094基測題本一,C
330,08演化,3地質年代,地質年代的事件,,,,,,,小明看了一部內容描寫原始人與暴龍大戰的電影。根據「科學事實」判斷，下列哪一項描述是正確的？,,,不可能，暴龍是草食性動物,可能，原始人是當時暴龍主食之一,不可能，此兩種生物出現於不同年代,可能，原始人可能是恐龍絕種的原因之一,,,,,094基測題本一,C
341,08演化,3地質年代,地質年代的事件,,,,,,,五億五千萬年前大約是古生代的開始，對於當時地球表面環境的敘述，下列何者正確？,,,各大陸分布位置如同現今,氣候溫和，所以陸地上森林茂盛,大氣中氧含量較地球剛形成時為多,恐龍稱霸於陸地上，海中則是三葉蟲的天下,,,,,094基測題本一,C
344,08演化,1天擇與人擇,人擇,天擇的結果,,,,,,科學家檢視三種哺乳動物及原始爬行動物化石的前肢骨，發現骨頭的基本構造與排列非常相似，如下圖，卻各具爬行、飛行、游泳、擲握等不同的功能。由此事實推論此三種哺乳動物的起源與器官功能歧異的原因，下列何者為最適當的推論？,m0244,,非源自爬行動物；適應不同的生活環境,非源自爬行動物；適應相同的生活環境,源自共同的爬行動物祖先；適應不同的生活環境,源自共同的爬行動物祖先；適應相同的生活環境,,,,,094基測題本一,C
376,09分類,5動物界,脊椎動物的特徵,兩生類與爬蟲類的差異,多種生物的比較,,,,,下列何者是青蛙與百步蛇的共同特徵？,,,成長過程中經過變態,完善的護幼行為,行體內受精,為變溫動物,,,,,094基測題本一,D
417,10生態,1族群與群集,從食物網預測生物放大現象,,,,,,,某稻田中的食物網如下圖。若此處已被「戴奧辛」汙染，則下列何種動物個體內所含戴奧辛的濃度最多？,m0306,,蛙,雞,蛇,鼠,,,,,094基測題本一,C
37,01生命世界,2動植物細胞的比較,細胞間的比較,,,,,,,小靜用顯微鏡觀察以亞甲藍液染色後的口腔皮膜細胞，下列關於此實驗的敘述何者正確？,,,需使用複式顯微鏡進行觀察,被染色的部位主要為細胞膜,其構造與植物表皮細胞相同,可觀察到呈半月形的保衛細胞,,,,,095基本學測一,A
95,02養分,4消化系統,養分被消化的位置,,,,,,,小真為外婆慶生時，吃了一碗豬腳麵線。下圖為消化系統示意圖，則下列關於食物消化過程的敘述何者正確？,m0112,,若食物不乾淨，會使得甲處水分吸收減少，導致拉肚子,麵線到達乙處，才開始消化分解,食物中的脂肪主要在乙處進行消化吸收,豬腳的養分到達丙處才被消化為小分子後加以吸收,,,,,095基本學測一,D
141,03運輸,2循環系統,血管,血管的流向,,,,,,小祥用一條塑膠管綁住左手上臂，如下圖所示，結果發現a血管變得不明顯，而b血管浮現，則下列敘述何者正確？,m0150,,a為動脈，b為靜脈,a為靜脈，b為動脈,a和b皆為動脈,a和b皆為靜脈,,,,,095基本學測一,A
154,03運輸,1植物的運輸,蒸散作用,,,,,,,小呆做綠豆發芽實驗，有一天他心血來潮，將發芽的綠豆以透明玻璃杯倒立罩著，一段時間後，杯壁上出現一些透明液體，如下圖所示。下列有關此綠豆實驗的敘述何者錯誤？,m0128,,杯壁上透明液體只會在夜晚出現,杯壁上的液體可由植物的蒸散作用產生,若以顯微鏡觀察葉子的下表皮可發現氣孔的存在,杯壁上的液體以氯化亞鈷試紙檢測時，試紙會由藍變為粉紅色,,,,,095基本學測一,A
172,04協調,1神經系統,神經功能,,,,,,,根據圖示，有關運動員運動時其腦部組織相關之敘述，下列何者正確？,m0163,,甲可使心搏加快，加速血液循環,乙能維持身體平衡，使運動員不跌倒,丙能減少呼吸深度，減緩氧氣消耗,丁可產生反射動作，使運動員加速奔跑,,,,,095基本學測一,B
183,04協調,1神經系統,神經傳遞路徑,,,,,,,佛教有一部經典《心經》，其部分內容寫到「……無眼、耳、鼻、舌、身、意﹔無色、聲、香、味、觸、法……」。上文中的「眼、耳、鼻、舌、身」與「色、聲、香、味、觸」之配對，與下列何種系統最有關係？,,,神經系統,呼吸系統,消化系統,內分泌系統,,,,,095基本學測一,A
189,04協調,1神經系統,神經系統綜合性問題,,,,,,,小亞遇到窮追狂吠的野狗時，感到害怕，轉身逃跑。下列關於她生理變化的敘述何者正確？,,,聽見狗吠就逃跑，屬於反射動作，傳導路徑不經大腦,腎上腺素大量分泌，使血壓下降，心跳次數增加,血糖濃度上升，使組織獲得足夠的養分,大腦調節使心跳頻率及呼吸頻率上升,,,,,095基本學測一,C
293,07遺傳,4生物科技,生物複製,判斷生物複製的結果,,,,,,大雄進行青蛙無性生殖實驗，先取綠色蛙的卵細胞，並去除其細胞核，之後再取褐色蛙的細胞核植入綠色蛙的卵細胞中。則以此種方式產生之幼蛙的性狀為下列何者？,,,保有綠色蛙的性狀,保有褐色蛙的性狀,與綠色蛙及褐色蛙性狀皆不同,保有綠色蛙及褐色蛙各一半的性狀,,,,,095基本學測一,B
309,07遺傳,1遺傳法則,計算與分析遺傳機率,,,,,,,如下圖，取基因型為AA的草莓植株(甲)，以匍匋莖產生子代(乙)，若甲與基因型aa的植株受粉，產生草莓果實之種子(丙)，則乙和丙的基因型分別為下列何者？,m0239,,乙為aa，丙為aa,乙為Aa，丙為Aa,乙為AA，丙為Aa,乙為AA，丙為AA,,,,,095基本學測一,C
364,09分類,4植物界,蕨類的特徵,,給特徵猜生物,,,,,小美在一棵高大的樟樹下發現了一株植物，葉呈羽狀複葉，葉背有數百顆咖啡色的圓點，推測其為下列何種植物？,,,地錢,鳯仙花,蒲公英,小毛蕨,,,,,095基本學測一,D
399,09分類,1命名與分類,學名的使用,,,,,,,下表為動物園鱷魚名稱的對照表，判斷下列關於池中鱷魚的敘述何者正確？,m0271,,揚子鱷與長吻鱷同種但不同屬,非洲鱷與長吻鱷不同屬也不同種,非洲鱷與密河短吻鱷同屬但不同種,揚子鱷與密河短吻鱷為同種但不同屬,,,,,095基本學測一,B
418,10生態,1族群與群集,解釋族群變化的原因,,,,,,,中國大陸曾為了提高水稻產量而大量撲殺麻雀，數年之後，反而使得蝗蟲大量繁殖，吃光水稻。下列者何者最可能為蝗蟲大量繁殖的主要原因？,,,蝗蟲的天敵減少,蝗蟲少了麻雀的競爭,環境中出現外來種的競爭,麻雀死了可供蝗蟲做為食物,,,,,095基本學測一,A
