序號,章,節,概念,次概念,考法,題組,題組題幹,題組圖1,題組圖2,題幹,題幹圖1,題幹圖2,選項A,選項B,選項C,選項D,圖A,圖B,圖C,圖D,出處,答案
68,02養分,3光合作用,光合作用的過程,,,,,,,若光合作用的反應物及產物表示為：甲＋乙→丙＋丁＋戊，其中甲來自空氣，乙與戊是同一物質，丁為氣體並會被釋放到空氣中。下列相關敘述何者正確？,,,甲可以使藍色氯化亞鈷試紙變成粉紅色,乙和戊可以助燃,丙是生物生長的主要來源之一,丁可以使澄清石灰水變混濁,,,,,097基本學測二,C
71,01生命世界,4生物體的組成層次,組成層次的類型,,,,,,,人是由多種組織、器官與系統共同構成的生物體。下列關於人體各部位的敘述，何者正確？,,,腎臟屬於消化系統，可代謝廢物,肝臟屬於循環系統，可製造膽汁,肺臟屬於呼吸系統，由肺泡組成,子宮屬於生殖系統，會分泌雌性激素,,,,,097基本學測二,C
107,09分類,4植物界,被子植物的特徵,,給特徵猜生物,,,,,小雪的爸爸拿了一張貴賓券邀全家一同去欣賞油桐樹花下音樂會，券上印有油桐樹的花，如下圖。下列關於油桐樹的敘述何者正確？,m0277,,能結果實,不具有形成層,維管束為散生狀,屬於單子葉植物,,,,,097基本學測二,A
119,11其他,綜合,綜合性的路徑,,,,,,,下列有關人體內各種訊息傳導或物質運送方向的敘述，何者正確？,,,神經傳導：受器→運動神經→感覺神經→動器,血液循環：心臟→動脈→靜脈→微血管,消化管：口腔→食道→胃→小腸→大腸,呼吸道：鼻腔→喉→支氣管→氣管,,,,,097基本學測二,C
121,03運輸,1植物的運輸,植物如何運輸,,,,,,,關於維管束植物體內水分與礦物質之吸收與運輸，下列敘述何者正確？,,,水分主要是由氣孔吸收,礦物質主要是由根部吸收,兩者皆主要以擴散作用向上運輸,水分主要是靠維管束的韌皮部運輸,,,,,097基本學測二,B
220,05恆定,2氣體恆定,呼吸運動,呼吸運動的過程,,,,,,人在打噴嚏時，常會產生「哈……啾」二階段的口形，當「啾」的口形產生時，下列敘述何者錯誤？,,,肋骨上舉,橫膈上升,肺部體積縮小,二氧化碳從肺部排出,,,,,097基本學測二,A
247,06生殖,1細胞分裂與減數分裂,染色體的判斷,,,,,,,在正常狀況下，下列有關人類性別與染色體組合的敘述，何者正確？,,,卵子的染色體只有一種組合為22(條)＋X,精子的染色體只有一種組合為22(條)＋X,男性的皮膚細胞內染色體組合為44(條)＋XX,女性的皮膚細胞內染色體組合為44(條)＋XY,,,,,097基本學測二,A
280,06生殖,2無性生殖,營養器官繁殖,,,,,,,下列何者不屬於落地生根利用葉片繁殖子代的特性？,,,不需依賴風或昆蟲來傳播花粉,可遺傳到與母株完全相同之性狀,繁殖速率較利用種子產生速度快,適應環境變化之能力較利用種子繁殖佳,,,,,097基本學測二,D
318,08演化,3地質年代,地質年代的事件,,,,,,,下表為地質年代表的一部分，根據此表推論，從下列哪一個時期開始，地球大氣中的臭氧含量已足夠保護陸地上的生物免於紫外線的威脅？(註：紀，為代之下更細分的年代單位。),m0263,,志留紀,石炭紀,侏羅紀,第三紀,,,,,097基本學測二,A
347,09分類,4植物界,蕨類的特徵,,給生物列特徵,,,,,阿緯到郊外想要拍攝蕨類植物，他應該選擇下列哪一種植物？,,,葉背有孢子囊堆的觀音座蓮,開著黃色小花的黃花酢漿草,樹枝上有毬果的臺灣二葉松,結了許多紫黑色果實的桑椹,,,,,097基本學測二,A
365,09分類,5動物界,脊椎動物的特徵,兩生類的特徵,給特徵猜生物,,,,,有一動物的體表光滑溼潤，具有四肢及長尾，常於夜晚出沒於溪流旁的苔蘚地上，其幼體利用鰓呼吸，這種生物最可能是下列哪一種動物？,,,魚類,兩生類,鳥類,爬蟲類,,,,,097基本學測二,B
388,09分類,4植物界,蕨類的特徵,,給生物列特徵,,,,,岩層中發現的煤礦，主要是由下列何者經過地質作用後所形成的？,,,恐龍,岩石,節肢動物,蕨類植物,,,,,097基本學測二,D
405,10生態,1族群與群集,族群群集,,,,,,,草原上有三隻長頸鹿、五隻羚羊及四隻大象在池塘邊喝水、吃草；兩隻獅子埋伏在不遠處的草叢中伺機而動。根據上述，下列何者正確？,,,羚羊屬於初級消費者,此草原上共有四個群集,獅子和羚羊為競爭的關係,長頸鹿、羚羊、大象和獅子可組成一個生態系,,,,,097基本學測二,A
6,01生命世界,3物質如何交換,擴散的實驗,,,,,,,甲燒杯內含有5％澱粉液，乙燒杯內含有5％葡萄糖液，將只含有水的袋子分別放入甲、乙兩燒杯中，如附圖所示。已知袋子的膜只能讓水及葡萄糖通過，放置一小時後，下列相關敘述何者正確？,m0038,m0039,甲燒杯中袋外的澱粉濃度不變,乙燒杯中袋外的葡萄糖濃度會降低,甲燒杯中袋內的液體加入碘液後呈現藍黑色,乙燒杯中袋內的液體加入碘液後呈現藍黑色,,,,,098基本學測一,B
46,04協調,2內分泌系統,內分泌功能,,,,,,,關於胰島素的敘述，下列何者正確？,,,由肝臟產生,藉由血液運送,可增加血糖濃度,能促進蛋白質的分解,,,,,098基本學測一,B
51,01生命世界,2動植物細胞的比較,粒線體與葉綠體,,葉綠體,,,,,細胞中的哪一構造最可用來判定此生物是否為生產者？,,,細胞壁,液胞,粒線體,葉綠體,,,,,098基本學測一,D
53,02養分,4消化系統,消化管的功能,,,,,,,雞吞食砂粒儲放在雞胗中，可幫助磨碎食物，以增加食物與酵素接觸的表面積。下列人體內哪一構造具有類似上述雞胗的消化功能？,,,口腔,食道,肝臟,大腸,,,,,098基本學測一,A
55,02養分,2酵素,酵素的活性,,圖表判讀,,,,,附圖為甲、乙和丙三種酵素在不同pH值下活性大小的測試結果。下列相關敘述，何者正確？,m0083,, pH值增加，三種酵素活性持續增加, pH值減少，三種酵素活性持續增加,三種酵素的活性大小和pH值無關,三種酵素的活性各有其最適合的pH值,,,,,098基本學測一,D
122,03運輸,2循環系統,血管間物質的比較,,,,,,,小賢複習課程內容時，以人體血液運輸及氣體交換的概念，推估肺動脈、肺靜脈、肝動脈及肝靜脈中，O2含量的高低，並作成附圖。但老師認為此圖有錯誤，下列何者可老師的理由？,m0152,, O2含量在肺動脈與肝動脈應該相同, O2含量在肺靜脈與肝靜脈應該相同, O2含量在肺動脈內應較肺靜脈內低, O2含量在肝動脈內應較肝靜脈內低,,,,,098基本學測一,C
143,03運輸,1植物的運輸,植物如何運輸,,,,,,,某植物莖橫切面的構造示意圖如附圖(一)，其葉片切面的構造示意圖如附圖(二)，整株植物體內物質運輸方向的示意圖如附圖(三)。根據此三圖，下列有關水分運輸的部位與箭頭所示之運輸方向，何者正確？,m0118,,甲和丙：運輸方向如戊所示,甲和丁：運輸方向如戊所示,乙和丙；運輸方向如己所示,乙和丁；運輸方向如己所示,,,,,098基本學測一,D
166,04協調,1神經系統,神經傳遞路徑,,,,,,,上體育課時，當老師從背後叫學生的名字，被叫到的同學會舉手並喊「有」。下列何者為此反應過程中的受器？,,,眼,耳,口,手,,,,,098基本學測一,B
239,05恆定,3水分恆定,蛋白質的代謝,,,,,,,下列有關人體代謝產生的含氮廢物之敘述，何者正確(含氮廢物包含氨和尿素等)？,,,尿素主要在肝臟合成,尿素對細胞的毒性比氨大,含氮廢物主要是由醣類代謝後所產生,含氮廢物主要經由呼吸系統排出體外,,,,,098基本學測一,A
286,06生殖,1細胞分裂與減數分裂,減數分裂的過程,,,,,,,下列有關動物細胞進行減數分裂的敘述，何者正確？,,,會使體細胞的數目增加,是無性生殖所需的步驟,會產生含不同基因的配子,會使配子的DNA含量增加,,,,,098基本學測一,C
320,08演化,3地質年代,地質年代的事件,,,,,,,原生代、古生代、中生代、新生代是單位較大的地質年代，「代」之下可再畫分為不同的「紀」。恐龍繁盛的「侏羅紀」時期，應屬於下列哪一個地質年代？,,,原生代,古生代,中生代,新生代,,,,,098基本學測一,C
351,09分類,4植物界,植物的特徵,,多種生物的比較,,,,,下列關於植物特性的敘述，何者正確？,,,裸子植物多具有毬果,蘚苔植物多具有維管束,蕨類植物多不具有孢子囊,單子葉植物多不具有果實,,,,,098基本學測一,A
393,02養分,3光合作用,能進行光合作用的生物種類,,,,,,,將某生物放置於有水的透明容器中，密封後給予陽光照射，並開始記錄容器內氧氣的含量變化，結果如附圖所示。根據此圖推測，此生物最可能是下列何者？,m0104,,珊瑚,矽藻,酵母菌,大腸桿菌,,,,,098基本學測一,B
437,10生態,5生態,生態綜合性問題,,,,,,,附圖表示某生態環境中的食物網。下列有關此食物網的敘述，何者正確？,m0331,,蝗蟲、浣熊和蟾蜍合稱族群,鹿所含的總能量全部轉移到狼,浣熊和蟾蜍之間有競爭關係，也有捕食關係,若老鼠全數死亡消失，對狼的影響比對蛇顯著,,,,,098基本學測一,C
542,06生殖,2無性生殖,後天產生的性狀無法遺傳給子代,,,g0901,,,,某一地區棲息著一種蛾，身體顏色有淺色和深色兩種；牠們晚上活動，白天在樺樹的樹幹上休息；此地區中還生存許多鳥類，會捕食這些蛾。在西元1935年，此地區建了許多工廠。不斷產生的黑煙把原先樹幹顏色較淺的樺樹燻黑了。研究員從西元1910年開始調查此區淺色蛾和深色蛾的比例，所得的結果如下表所示。如果把這地區已被燻黑的樺樹所產生的種子，播種在另一個沒有黑煙汙染的新環境。下列對於新長出樺樹的敘述，何者正確？,m0222,,樹幹為黑色，因為其親代樹幹為黑色,樹幹為黑色，因為黑煙使淺色樹幹突變為黑色,樹幹為淺色，因為黑色樹幹是環境造成並不能遺傳,樹幹為淺色，因為形成層會長出新組織取代黑色樹幹。,,,,,098基本學測一,C
543,08演化,1天擇與人擇,天擇的過程,預測結果,,g0901,,,,某一地區棲息著一種蛾，身體顏色有淺色和深色兩種；牠們晚上活動，白天在樺樹的樹幹上休息；此地區中還生存許多鳥類，會捕食這些蛾。在西元1935年，此地區建了許多工廠。不斷產生的黑煙把原先樹幹顏色較淺的樺樹燻黑了。研究員從西元1910年開始調查此區淺色蛾和深色蛾的比例，所得的結果如下表所示。已知蝙蝠也會捕食這些淺色蛾和深色蛾，但是牠們不像鳥類用視覺找尋食物，而是利用聲波定位食物。如果在西元1940年，突然此地區鳥類全被蝙蝠所取代。則在西元1948年，此地區淺色蛾和深色蛾的比例最可能為下列何者？,m0257,,淺色蛾93％，深色蛾7％,淺色蛾50％，深色蛾50％,淺色蛾29％，深色哦71％,淺色蛾22％，深色蛾78％,,,,,098基本學測一,B
22,01生命世界,2動植物細胞的比較,細胞構造的功能,,,,,,,附圖是動物細胞和植物細胞的示意圖，關於此圖中細胞內各構造的功能，下列何者正確？,m0034,,甲含有能控制遺傳性狀的物質,乙主要是控制細胞內外物質的進出,丙能進行光合作用產生養分,丁能分解葡萄糖產生光能,,,,,098基本學測二,A
27,01生命世界,1顯微鏡,物鏡的視野與比較,,,,,,,某臺複式顯微鏡的目鏡放大倍率有10X、15X兩種；物鏡放大倍率有4X、10X和40X三種。小鈞利用此複式顯微鏡觀察洋蔥表皮細胞，下列何種組合可使他在視野中看到的細胞數目最多？,,,目鏡10X、物鏡4X,目鏡10X、物鏡10X,目鏡15X、物鏡10X,目鏡15X、物鏡40X,,,,,098基本學測二,A
64,02養分,2酵素,酵素的活性,,圖表判讀,,,,,有些水果含有可分解蛋白質的酵素，加入這些酵素可使牛肉軟嫩。附圖為在15℃時不同pH值下，四種此類酵素甲、乙、丙、丁的活性大小。若牛肉置於15℃的中性環境中，則加入等量的哪一種酵素，可使牛肉最快變軟嫩？,m0084,,甲,乙,丙,丁,,,,,098基本學測二,B
88,02養分,3光合作用,光合作用的原料產物運輸,,,,,,,關於植物行光合作用的敘述，下列何者正確？,,,植物行光合作用的產物可轉換成澱粉,植物行光合作用產生的養分由木質部運送,植物行光合作用釋出的O2主要是來自CO2的分解,植物行光合作用的先決條件是需具有維管束的構造,,,,,098基本學測二,A
139,03運輸,2循環系統,血管間物質的比較,,,,,,,附圖為手臂血管中血液流動的示意圖，圖中的箭頭代表血液的流動方向，甲、乙、丙分別為三種不同的血管，下列相關敘述何者正確？,m0157,,乙會收縮並產生脈搏,丙為物質交換的場所,甲所含的葡萄糖量比乙、丙少,丙所含的二氧化碳量比甲、乙多,,,,,098基本學測二,D
147,03運輸,2循環系統,血液,血漿的功能,,,,,,人體所儲存的肝糖被分解為葡萄糖後，在血液中是由下列何者運輸至細胞？,,,白血球,紅血球,血小板,血漿,,,,,098基本學測二,D
179,04協調,1神經系統,中樞與功能,,,,,,,附圖為人類中樞神經系統的構造示意圖，下列敘述中的反應與其主要控制中樞的配對，何者正確？,m0159,,手觸電後立刻縮回──甲,看到相片回憶起快樂時光──乙,血液中CO2濃度過高使呼吸加速──丙,騎腳踏車時能保持平衡──丁,,,,,098基本學測二,C
231,04協調,2內分泌系統,血糖調控,,,,,,,有些糖尿病患者需要每天注射激素X，但在注射後有時會再補充適量的糖，以避免出現心悸、顫抖等症狀。下列對此現象的解釋，何者最合理？,,,X為胰島素，有時會造成血糖過度增加,X為胰島素，有時會造成血糖過度降低,X為腎上腺素，有時會造成血糖過度增加,X為腎上腺素，有時會造成血糖過度降低,,,,,098基本學測二,B
232,05恆定,3水分恆定,泌尿系統的功能,,,,,,,附圖為人體泌尿系統和其所連接的血管示意圖。關於圖中甲、乙、丙和丁構造的主要功能敘述，下列何者不正確？,m0209,,甲為合成尿素,乙為輸送尿液,丙為輸送血液,丁為儲存尿液,,,,,098基本學測二,A
271,06生殖,1細胞分裂與減數分裂,分裂時染色體變化,,,,,,,如附圖，甲與乙是細胞兩種不同分裂方式的過程中，其遺傳物質含量變化的示意圖。下列現象與甲、乙的配對，何者正確？,m0214,,花瓣細胞的產生－甲,種子萌發為幼苗－甲,人類受精卵的發育－乙,人類卵細胞的產生－乙,,,,,098基本學測二,C
340,08演化,1天擇與人擇,天擇的過程,解釋現象,,,,,,某一棲地上，昆蟲大多隱藏在樹幹裡以躲避天敵。已知生活在此處的某種鳥類，其族群中具有細長及厚短等不同嘴型的個體，皆以這些昆蟲為食。數百年後，發現此棲地中，這種鳥類嘴型細長的個體比例明顯增加。若依天擇說解釋此種現象，下列何者最合理？,,,嘴型厚短者能吃到更多的昆蟲,嘴型細長者是由嘴型厚短者突變而來,嘴型厚短者為了要吃昆蟲而使嘴型越拉越長,嘴型細長者的比例增加是受昆蟲棲所的影響,,,,,098基本學測二,D
355,09分類,5動物界,動物界的特徵,棘皮動物的特徵,給特徵猜生物,,,,,某動物生長於海洋中，具有管足，體壁內具有許多骨片，外形示意圖如附圖。依照目前使用的動物分類原則，此動物最有可能被歸類在下列哪一類？,m0294,,軟體動物,節肢動物,棘皮動物,脊椎動物,,,,,098基本學測二,C
401,09分類,4植物界,被子植物的特徵,,給生物列特徵,,,,,附圖為某植物含苞待放的照片，觀察照片中植物的特徵，推論此類植物通常還會具有下列哪一特徵？,m0282,,具有毬果,以孢子繁殖,子房內有胚珠,具有裸露的種子,,,,,098基本學測二,C
446,10生態,4物質的循環,氮循環的方式,,,,,,,有關氮氣、氮元素與生物或生態環境之關係，下列敘述何者正確？,,,氮氣是造成溫室效應的主要氣體之一,陸生的植物可直接利用大氣中的氮氣,氮元素是構成生物體蛋白質的重要成分之一,氮元素進入生物體後，就無法再回歸生態環境中,,,,,098基本學測二,C
18,11其他,氣圈,大氣成分與功能,,,,,,,有關組成地球大氣氣體的敘述，下列何者正確？,,,在大氣中氮的含量僅次於氧,大氣中的甲烷是一種溫室氣體,大氣中的氧氣減少是造成臭氧洞的主要原因,在大氣中造成雲、雨等天氣現象的主要氣體是氧氣,,,,,099基本學測一,B
32,01生命世界,2動植物細胞的比較,粒線體與葉綠體,,粒線體,,,,,甲和乙為某生物體內的兩種正常細胞，其所含的粒線體數目如附表。由表推論，下列哪一種生理作用應是甲細胞比乙細胞旺盛？,m0036,,吸收光能,吸收水分,產生氧氣,產生能量,,,,,099基本學測一,D
43,02養分,4消化系統,養分被消化的位置,,,,,,,附表為某食品營養標示的簡表，此食品中含量最多的營養成分會在下列哪一器官中被消化？,m0113,,肝臟,膽囊,大腸,小腸,,,,,099基本學測一,D
82,02養分,3光合作用,光合作用的過程,,光合作用與pH,,,,,小畢把池水、水草和魚裝入透明玻璃瓶，測量pH值後將瓶口密封，如附圖所示。將此瓶持續照光2天後，瓶內的生物仍生長良好，但測量得知瓶內水的pH值降低。在持續照光的條件下，若小畢想使瓶內水的pH值回復到接近照光前的數值，則可採用下列哪一方法？,m0094,,再多加一些魚在瓶內,將CO2灌入瓶內水中,再多加一些水草在瓶內,將瓶內的池水倒掉一半,,,,,099基本學測一,C
83,02養分,1養分,養分檢驗,,,,,,,小嘉先於試管中裝入水，並將試管口用一層膜密封，再倒置於裝有澱粉液的燒杯中，如附圖所示。靜置一段時間後，藉由下列何種檢測與反應的發生，可讓小嘉判斷澱粉不會通過此膜？,m0060,,取燒杯內的液體，加入碘液後呈現藍黑色,取燒杯內的液體，加入碘液後呈現黃褐色,取試管內的液體，加入碘液後呈現藍黑色,取試管內的液體，加入碘液後呈現黃褐色,,,,,099基本學測一,D
150,03運輸,1植物的運輸,植物如何運輸,,,,,,,附圖為某植物的構造示意圖，有關植物體內物質運輸的敘述，下列何者正確？,m0116,,養分僅可由丙輸送到乙,水分僅可由甲輸送到丁,養分可由乙輸送到甲，也可由乙輸送到丁,水分可由丙輸送到乙，也可由丙輸送到丁,,,,,099基本學測一,C
226,04協調,2內分泌系統,內分泌功能,,,,,,,附圖為人體內分泌系統示意圖，甲、乙、丙及丁代表腺體的名稱。有關這些腺體與其分泌激素異常所引起的生理現象之配對，下列何者正確？,m0169,,甲－－尿液中含有多量的葡萄糖,乙－－身高比成人的平均多,丙－－食慾增加但體重減輕,丁－－血液中鈣濃度異常增加,,,,,099基本學測一,C
230,04協調,2內分泌系統,血糖調控,,,,,,,某健康受試者接受血糖濃度的測量，空腹8小時後測得每100 mL血液中含有90 mg的葡萄糖。之後喝下一杯高濃度的葡萄糖液，並且每隔半小時接受血糖濃度的測量。有關此人喝下葡萄糖液後到血糖濃度達到穩定前，其血糖濃度變化的敘述，下列何者正確？,,,血糖濃度不會有變動,血糖濃度會持續上升,血糖濃度會先降後升,血糖濃度會先升後降,,,,,099基本學測一,D
234,04協調,1神經系統,中樞與功能,,,,,,,附圖為小虹騎腳踏車及她的中樞神經系統示意圖。有關小虹騎腳踏車時，神經系統運作的相關敘述，下列何者正確？,m0160,,向左或向右前進由甲判斷,呼吸頻率的快慢由乙調節,身體的平衡是藉由丙維持,腳踩踏板的速度由丁決定,,,,,099基本學測一,A
236,05恆定,1體溫恆定,調節體溫,調節體溫的結果,,,,,,小莉的暑假作業是觀察氣溫變化與體溫變化的關係。已知某日小莉居住環境的氣溫變化如附圖所示，若當日小莉身體狀況良好並記錄了自己的體溫變化，則下列何者最可能是她的體溫測量結果？,m0197,,,,,,m0198,m0199,m0200,m0201,099基本學測一,D
275,06生殖,5植物有性生殖,花的構造,,,,,,,老王有甲、乙兩株不同性狀的蕃茄。他利用甲植株的花粉來使乙植株受精，得到種子後，再播種長成丙植株。下列相關敘述，何者正確？,,,丙植株的所有性狀和甲植株相同,此受精作用中的精細胞是由乙植株提供,此受精作用後乙植株的子房會發育成果實,長成丙植株的種子由甲植株的胚珠發育而來,,,,,099基本學測一,C
367,09分類,5動物界,脊椎動物的特徵,,多種生物的比較,,,,,附圖是某動物園的地圖，甲、乙、丙、丁為不同類別的展示館。小艾班上要到此動物園參觀，全班分成數組，小艾這組計畫依序觀察青蛙、蜥蜴、鴨嘴獸。下列何者是他們這組參觀展示館的順序？,m0292,,甲丁乙,甲丁丙,丁甲乙,丁甲丙,,,,,099基本學測一,B
400,09分類,4植物界,植物的特徵,,多種生物的比較,,,,,附圖為不同生物局部外形示意圖及其特徵。若將甲、乙、丙分為一組，丁為另一組，則下列何者是此分類的依據？,m0289,,是否具有果實,是否具有葉綠體,是否利用孢子繁殖,是否利用種子繁殖,,,,,099基本學測一,B
411,10生態,4物質的循環,二氧化碳濃度增加的原因,,,,,,,工業革命之後，地球大氣中的二氧化碳濃度有逐漸增加的趨勢，下列何者不是造成此現象的主要原因之一？,,,氟氯碳化物的大量使用,為人類需求而大量砍伐森林,人口的增加及汽機車的大量使用,以石油、天然氣為燃料之工業大幅成長,,,,,099基本學測一,A
459,10生態,3能量的流動,判斷生態系的角色-從能量流動關係,,,,,,,附圖表示某生態系的能量流動關係，箭頭代表能量的流動方向。下列有關圖中甲、乙、丙和丁在生態系中扮演的角色，何者正確？,m0318,,甲是次級消費者,乙是初級消費者,丙是分解者,丁是生產者。次級消費者，又稱二級消費者,,,,,099基本學測一,B
21,01生命世界,1顯微鏡,物鏡的視野與比較,,,,,,,小芬利用複式顯微鏡觀察人的血球細胞，使用相同的目鏡，但在兩種不同放大倍率下，所呈現的視野分別為甲和乙，如附圖所示，下列相關敘述何者正確？,m0018,,若使用相同的光圈，則甲比乙亮,在甲中所觀察到的細胞，在乙中均可觀察到,若玻片往右移，甲的影像會往右移而乙的影像則往左移,若在甲看到模糊的影像，改換成乙就可以看到清晰的影像,,,,,099基本學測二,A
99,04協調,2內分泌系統,血糖調控,,,,,,,附圖為人體消化系統局部的示意圖，下列哪一器官的功能與提供血糖調節或血糖濃度的相關性最低？,m0172,,甲,乙,丙,丁,,,,,099基本學測二,C
130,03運輸,2循環系統,血管間物質的比較,,,,,,,下圖為人體內某器官的動脈及靜脈血液中O2和CO2的含量，則此器官最可能是下列何者？,m0154,,大腦,肝臟,肺臟,腎臟,,,,,099基本學測二,C
173,04協調,1神經系統,神經功能,,,,,,,某書介紹中樞神經系統某一部位功能的敘述為：「接收到血壓太高的訊息時，會發出訊息經由神經傳至心臟，使心跳減慢。」此敘述最可能是在說明下列哪一個部位？,,,大腦,小腦,腦幹,脊髓,,,,,099基本學測二,C
273,06生殖,2無性生殖,無性生殖和有性生殖的差異,,,,,,,某種青黴菌可產生特定的抗生素，此抗生素能抑制某些細菌的生長，但對青黴菌本身沒有影響。在不考慮突變的情況下，當此青黴菌以無性生殖產生孢子，則由這些孢子發育成的青黴菌，最可能具有下列何種特徵？,,,染色體的數目會減半,能產生相同的抗生素,遺傳物質的成分和親代不同,其生長受親代產生的抗生素所抑制,,,,,099基本學測二,B
279,06生殖,3動物有性生殖,動物如何進行生殖,,,,,,,已知某類動物的特性為：「行體內受精，胚胎在母體外發育，會照顧幼體，且體溫能維持恆定。」依照現行動物界的分類原則，此類動物的特性和下列何者的特性最為接近？,,,魚類,鳥類,兩生類,胎生哺乳類,,,,,099基本學測二,B
327,08演化,2化石,化石判斷地層,,,,,,,下表為地質年代簡表，下圖則為某地的沉積岩層縱剖面，其中岩層甲含象化石，岩層乙不含化石，岩層丙含有三葉蟲化石，而丁為一斷層，根據圖表判斷，下列何者為最合理的推論？,m0258,m0259,由於岩層甲在最上層且含有象化石，所以斷層丁發生在古生代,由於岩層乙不含化石，所以斷層丁發生時間在三葉蟲出現之前,由於岩層丙在最下層且含有三葉蟲化石，所以斷層丁發生在古生代,由於斷層丁切過的岩層中最年輕的是新生代，所以斷層丁發生在新生代,,,,,099基本學測二,D
373,02養分,3光合作用,能進行光合作用的生物種類,,,,,,,如下圖，甲、乙、丙、丁是裝有池水的四組密閉透明容器，除了小魚、小蝦、螺或水草是否存在外，其餘實驗條件皆相同。已知在照光的條件下，水草光合作用的速率大於本身呼吸作用的速率，若四組皆持續照光一天，且其內生物仍生長良好，則下列哪一容器中池水所含的CO2量可能最少？,m0103,,甲,乙,丙,丁,,,,,099基本學測二,B
377,09分類,1命名與分類,學名的使用,,,,,,,小玲收集有關「櫻花鉤吻鮭」與「次高山鱒」的資料，整理後如下表。依生物學同種生物的概念，小玲可根據表中哪一項判斷這兩者為同種生物？,m0267,,俗名,屬名,主食,生殖,,,,,099基本學測二,D
